"estimated_genus_name","Major_Functional_Group","estimated_taxa_group","family_from_previous.keys","family_from_taxize","new_estimated_family_name","new_family_est_reasoning"
"Peprilus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Stromateidae","Stromateidae","Stromateidae","family name was estimated from previous keys"
"Perissias","Demersal marine fishes","OTRAS","Bothidae",NA,"Bothidae","family name was estimated from previous keys"
"Pinna","Molluscs excl. Cephalopods","OTRAS",NA,"Pinnidae","Pinnidae","family name was estimated from genus name using taxize function"
"Pollicipes","Crustaceans","OTRAS","Pollicipedidae","Pollicipedidae","Pollicipedidae","family name was estimated from previous keys"
"Polydactylus","Demersal marine fishes","LISA","Polynemidae","Polynemidae","Polynemidae","family name was estimated from previous keys"
"Pomadasys","Demersal marine fishes","OTRAS","Haemulidae","Haemulidae","Haemulidae","family name was estimated from previous keys"
"Prionace","Sharks","TIBURON","Carcharhinidae","Carcharhinidae","Carcharhinidae","family name was estimated from previous keys"
"Pristis","Sharks","OTRAS",NA,"Pristidae","Pristidae","family name was estimated from genus name using taxize function"
"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES","Rhinobatidae","Rhinobatidae","Rhinobatidae","family name was estimated from previous keys"
"Pseudocarcharias","Sharks","OTRAS",NA,"Pseudocarchariidae","Pseudocarchariidae","family name was estimated from genus name using taxize function"
"Pseudupeneus","Demersal marine fishes","OTRAS","Mullidae","Mullidae","Mullidae","family name was estimated from previous keys"
"Rhinobatos","Demersal marine fishes","RAYA Y SIMILARES",NA,"Rhinobatidae","Rhinobatidae","family name was estimated from genus name using taxize function"
"Rhinoptera","Demersal marine fishes","RAYA Y SIMILARES",NA,"Myliobatidae","Myliobatidae","family name was estimated from genus name using taxize function"
"Rhizoprionodon","Sharks","CAZON","Carcharhinidae","Carcharhinidae","Carcharhinidae","family name was estimated from previous keys"
"Rhizorionodon","Sharks","CAZON",NA,NA,NA,"family name will need to be logged manually"
"Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae","Penaeidae","Penaeidae","family name was estimated from previous keys"
"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae","Scombridae","Carangidae","family name was estimated from previous keys"
"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae","Clupeidae","Clupeidae","family name was estimated from previous keys"
"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae","Scorpaenidae","Scorpaenidae","family name was estimated from previous keys"
"Scorpaenichthys","Demersal marine fishes","OTRAS","Cottidae","Cottidae","Cottidae","family name was estimated from previous keys"
"Sebastes","Demersal marine fishes","OTRAS","Sebastidae","Sebastidae","Sebastidae","family name was estimated from previous keys"
"Selar","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae","Carangidae","Carangidae","family name was estimated from previous keys"
"Sicyonia","Shrimps, prawns","CAMARON","Sicyoniidae","Sicyoniidae","Sicyoniidae","family name was estimated from previous keys"
"Sphoeriodes","Demersal marine fishes","OTRAS",NA,NA,NA,"family name will need to be logged manually"
"Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae","Tetraodontidae","Tetraodontidae","family name was estimated from previous keys"
"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Sphyraenidae","Sphyraenidae","Sphyraenidae","family name was estimated from previous keys"
"Sphyrna","Sharks","TIBURON","Sphyrnidae","Carcharhinidae","Sphyrnidae","family name was estimated from previous keys"
"Spondyliosoma","Demersal marine fishes","OTRAS",NA,"Sparidae","Sparidae","family name was estimated from genus name using taxize function"
"Squatina","Sharks","TIBURON","Squatinidae","Squatinidae","Squatinidae","family name was estimated from previous keys"
"Stereolepis","Demersal marine fishes","OTRAS","Polyprionidae","Polyprionidae","Polyprionidae","family name was estimated from previous keys"
"Stomolophus","Jellies","OTRAS",NA,"Stomolophidae","Stomolophidae","family name was estimated from genus name using taxize function"
"Strongylocentrotus","Echinoderms","ERIZO","Strongylocentrotidae","Strongylocentrotidae","Strongylocentrotidae","family name was estimated from previous keys"
"Strongylura","Pelagic marine fish (excl. anchovy & sardine)","OTRAS","Belonidae","Belonidae","Belonidae","family name was estimated from previous keys"
"Syngnathus","Demersal marine fishes","OTRAS","Syngnathidae","Syngnathidae","Syngnathidae","family name was estimated from previous keys"
"Synodus","Demersal marine fishes","OTRAS","Synodontidae","Synodontidae","Synodontidae","family name was estimated from previous keys"
"Sypyrna","Sharks","TIBURON",NA,NA,NA,"family name will need to be logged manually"
"Tetrapturus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",NA,"Istiophoridae","Istiophoridae","family name was estimated from genus name using taxize function"
"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN","Scombridae","Scombridae","Scombridae","family name was estimated from previous keys"
"Totoaba","Demersal marine fishes","OTRAS","Sciaenidae","Sciaenidae","Sciaenidae","family name was estimated from previous keys"
