"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
NA,"OTRAS","BACALAO NEGRO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BACALAO NEGRO",NA,NA,NA,NA
NA,"OTRAS","BACIN ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BACIN",NA,NA,NA,NA
NA,"OTRAS","BACINICO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BACINICO",NA,NA,NA,NA
NA,"OTRAS","BACOCO DESV. FCO.","DESV.","FCO.",NA,NA,NA,"BACOCO",NA,NA,NA,NA
NA,"OTRAS","BACOCO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BACOCO",NA,NA,NA,NA
NA,"OTRAS","BACOCO FILETE FCO.","FILETE","FCO.",NA,NA,NA,"BACOCO",NA,NA,NA,NA
NA,"OTRAS","BACOCO DESV. Y DESC. FCO.","DESV.","DESC.","FCO.",NA,NA,"BACOCO",NA,NA,NA,NA
NA,"OTRAS","BACOCO SECO","SECO",NA,NA,NA,NA,"BACOCO",NA,NA,NA,NA
NA,"OTRAS","BAINA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BAINA",NA,NA,NA,NA
NA,"OTRAS","BALAO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BALAO",NA,NA,NA,NA
NA,"OTRAS","BALLUSA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BALLUSA",NA,NA,NA,NA
NA,"OTRAS","CONCHA NACAR SECA","SECA",NA,NA,NA,NA,"CONCHA NACAR",NA,NA,NA,NA
NA,"OTRAS","BARBERO ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BARBERO",NA,NA,NA,NA
NA,"OTRAS","BARBILLA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BARBILLA",NA,NA,NA,NA
NA,"OTRAS","BARBON ENT. FCO.","ENT.","FCO.",NA,NA,NA,"BARBON",NA,NA,NA,NA
NA,"OTRAS","BARRACUDA ENT. FCA.","ENT.","FCA.",NA,NA,NA,"BARRACUDA",NA,NA,NA,NA
NA,"OTRAS","BARRACUDA DESV. FCA.","DESV.","FCA.",NA,NA,NA,"BARRACUDA",NA,NA,NA,NA
NA,"OTRAS","BARRACUDA DESV. DESC. FCA.","DESV.","DESC.","FCA.",NA,NA,"BARRACUDA",NA,NA,NA,NA
NA,"OTRAS","BARRACUDA SECA","SECA",NA,NA,NA,NA,"BARRACUDA",NA,NA,NA,NA
