"Year","OHI_Region","Stock_genera","Annual_Catch_kg","Avg_Catch_Ref2018.2022","n_Years_Ref2018.2022","Carta_est.Status","CMSY_est.B","RAM_n_Assessments","Carta_StockStatus","CMSY_StockStatus","RAM_StockStatus","StockStatus_Pick","StockStatus_capped"
2024,"region_2","caranx",623.5,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2019,"region_3","caranx",5796,NA,NA,NA,485.4760071,NA,NA,0.825569363,NA,0.825569363,0.825569363
2021,"region_3","caranx",5123,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2023,"region_3","caranx",5556,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_3","caranx",35950,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_4","caranx",64951,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2019,"region_4","caranx",40439,NA,NA,NA,485.4760071,NA,NA,0.825569363,NA,0.825569363,0.825569363
2020,"region_4","caranx",7594.1,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2021,"region_4","caranx",13367.8,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2022,"region_4","caranx",7458.2,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_4","caranx",12076,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_4","caranx",11696.1,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2022,"region_4_5_6_sonora_tbd","caranx",600,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_4_5_6_sonora_tbd","caranx",11,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_5","caranx",705,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_6","caranx",385,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2020,"region_6","caranx",232.1,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2022,"region_6","caranx",391.3,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_6","caranx",1811,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_6","caranx",1635,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_7","caranx",5441,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2019,"region_7","caranx",6751.4,NA,NA,NA,485.4760071,NA,NA,0.825569363,NA,0.825569363,0.825569363
2020,"region_7","caranx",3175,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2021,"region_7","caranx",5535.5,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2022,"region_7","caranx",55659.5,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_7","caranx",9161,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_7","caranx",5173,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_8","caranx",3560,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2019,"region_8","caranx",7392.9,NA,NA,NA,485.4760071,NA,NA,0.825569363,NA,0.825569363,0.825569363
2020,"region_8","caranx",3529.5,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2021,"region_8","caranx",11284.7,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2022,"region_8","caranx",18588.6,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_8","caranx",56358,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_8","caranx",5920.5,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2018,"region_9","caranx",49751.6,NA,NA,NA,539.9393399,NA,NA,0.918186214,NA,0.918186214,0.918186214
2019,"region_9","caranx",44942.8,NA,NA,NA,485.4760071,NA,NA,0.825569363,NA,0.825569363,0.825569363
2020,"region_9","caranx",22608.4,NA,NA,NA,452.3077275,NA,NA,0.769165514,NA,0.769165514,0.769165514
2021,"region_9","caranx",20350.1,NA,NA,NA,447.4272825,NA,NA,0.760866142,NA,0.760866142,0.760866142
2022,"region_9","caranx",15977.5,NA,NA,NA,463.2949068,NA,NA,0.787849606,NA,0.787849606,0.787849606
2023,"region_9","caranx",73672,NA,NA,NA,483.3649505,NA,NA,0.821979435,NA,0.821979435,0.821979435
2024,"region_9","caranx",76647.6,NA,NA,NA,464.3932393,NA,NA,0.78971736,NA,0.78971736,0.78971736
2019,"region_1","carcharhinus",100,1612.6875,4,"maximally harvested",36319.49537,NA,1,1.226692457,NA,1.226692457,1
