"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Source","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment","st_b_source","end_b_source"
"goc","scorpaena","scorpaenidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2007,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.5,0.8,0.3,0.5,NA,NA,"low","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","hyporthodus","serranidae","demersal marine fishes","baqueta","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"medium","my_best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","mycteroperca","serranidae","demersal marine fishes","cabrilla","CONAPESCA",TRUE,2000,2024,2015,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,"low","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","paralabrax","serranidae","demersal marine fishes","cabrilla","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0,0.2,0.3,0.5,NA,NA,"low","ferrer et al_2022","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","epinephelus","serranidae","demersal marine fishes","mero","CONAPESCA",TRUE,2000,2024,2009,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0,0.2,0.1,0.3,NA,NA,"very low","best_guess_mycteroperca.jordani","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","diplectrum","serranidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0,0.2,0.1,0.3,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","paranthias","serranidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2018,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.3,0.5,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","calamus","sparidae","demersal marine fishes","mojarra","CONAPESCA",TRUE,2000,2024,2005,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.3,0.5,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","synodus","synodontidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2012,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,NA,NA,"medium","fish base","No, missing biomass priors","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level",NA,"Expert Opinion"
"goc","sphoeroides","tetraodontidae","demersal marine fishes","otras","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.6,0.9,0.3,0.5,NA,NA,"medium","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","chanos","chanidae","diadromous fishes","otras","CONAPESCA",TRUE,2000,2024,2013,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,0.2,0.4,0.1,0.3,NA,NA,"low","fish base","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
"goc","stomolophus","stomolophidae","jellies","otras","CONAPESCA",TRUE,2011,2024,2017,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.3,0.55,NA,NA,"high","best_guess","Yes","Timeseries (TS) generated by Erica Ferrer using CONAPESCA data. TS used to generate priors made on April 3 2026; TS used to generate CMSY made on May 26 2026; Stock is estimated at the genus level","Reference","Expert Opinion"
