"year","OHI_Region_No","estimated_genus_name","status","Annual_Catch_kg","Catch_t2_vs_Catch_t1","control","notes","CNP_score"
2021,"region_3","carcharhinus","maximally harvested",9167.5,"similar","no increase",NA,0.7
2022,"region_3","carcharhinus","maximally harvested",18318.5,"increased","no increase",NA,0.6
2023,"region_3","carcharhinus","maximally harvested",6250,"decreased","no increase",NA,0.8
2024,"region_3","carcharhinus","maximally harvested",13922.4,"increased","no increase",NA,0.6
2019,"region_3","centropomus","maximally harvested",185.4,"decreased","no increase",NA,0.8
2020,"region_3","centropomus","maximally harvested",294.8,"increased","no increase",NA,0.6
2021,"region_3","centropomus","maximally harvested",42.9,"decreased","no increase",NA,0.8
2022,"region_3","centropomus","maximally harvested",71.5,"increased","no increase",NA,0.6
2023,"region_3","centropomus","maximally harvested",5,"decreased","no increase",NA,0.8
2024,"region_3","centropomus","maximally harvested",29.7,"increased","no increase",NA,0.6
2019,"region_3","cynoscion",NA,47119.1,"decreased",NA,NA,NA
2020,"region_3","cynoscion",NA,62850.9,"increased",NA,NA,NA
2021,"region_3","cynoscion",NA,60065.55,"similar",NA,NA,NA
2022,"region_3","cynoscion",NA,104996.8,"increased",NA,NA,NA
2023,"region_3","cynoscion",NA,113186,"similar",NA,NA,NA
2024,"region_3","cynoscion",NA,41374,"decreased",NA,NA,NA
2019,"region_3","galeocerdo","maximally harvested",183,"increased","no increase",NA,0.6
2020,"region_3","galeocerdo","maximally harvested",3396,"increased","no increase",NA,0.6
2021,"region_3","galeocerdo","maximally harvested",2312,"decreased","no increase",NA,0.8
2022,"region_3","galeocerdo","maximally harvested",2274,"similar","no increase",NA,0.7
2023,"region_3","galeocerdo","maximally harvested",4744,"increased","no increase",NA,0.6
2024,"region_3","galeocerdo","maximally harvested",795.5,"decreased","no increase",NA,0.8
2019,"region_3","galeorhinus","maximally harvested",48,"decreased","no increase",NA,0.8
2020,"region_3","galeorhinus","maximally harvested",858,"increased","no increase",NA,0.6
2021,"region_3","galeorhinus","maximally harvested",488,"decreased","no increase",NA,0.8
2022,"region_3","galeorhinus","maximally harvested",1355,"increased","no increase",NA,0.6
2023,"region_3","galeorhinus","maximally harvested",2912,"increased","no increase",NA,0.6
2024,"region_3","galeorhinus","maximally harvested",281,"decreased","no increase",NA,0.8
2019,"region_3","haliotis","deteriorating",14394.947,"decreased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.6
2020,"region_3","haliotis","deteriorating",1046.8,"decreased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.6
2023,"region_3","haliotis","deteriorating",7140,"increased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.4
2024,"region_3","haliotis","deteriorating",3699.68,"decreased","decrease","specifically says to not increase fishing effort on the Pacific Coast, but will assume standard throughout Baja",0.6
2019,"region_3","hoplopagrus","maximally harvested",12030.4,"decreased","no increase",NA,0.8
2020,"region_3","hoplopagrus","maximally harvested",6506.9,"decreased","no increase",NA,0.8
2021,"region_3","hoplopagrus","maximally harvested",17891.9,"increased","no increase",NA,0.6
2022,"region_3","hoplopagrus","maximally harvested",20379.3,"similar","no increase",NA,0.7
2023,"region_3","hoplopagrus","maximally harvested",20914,"similar","no increase",NA,0.7
2024,"region_3","hoplopagrus","maximally harvested",26419.5,"increased","no increase",NA,0.6
2019,"region_3","isurus","maximally harvested",55442.7,"increased","no increase",NA,0.6
2020,"region_3","isurus","maximally harvested",24801.75,"decreased","no increase",NA,0.8
2021,"region_3","isurus","maximally harvested",14859.55,"decreased","no increase",NA,0.8
2022,"region_3","isurus","maximally harvested",5563.45,"decreased","no increase",NA,0.8
2023,"region_3","isurus","maximally harvested",10605,"increased","no increase",NA,0.6
2024,"region_3","isurus","maximally harvested",17527.6,"increased","no increase",NA,0.6
2019,"region_3","lutjanus","maximally harvested",418530.45,"similar","no increase",NA,0.7
2020,"region_3","lutjanus","maximally harvested",408498.45,"similar","no increase",NA,0.7
2021,"region_3","lutjanus","maximally harvested",459140.9,"similar","no increase",NA,0.7
2022,"region_3","lutjanus","maximally harvested",432662.3,"similar","no increase",NA,0.7
2023,"region_3","lutjanus","maximally harvested",446234,"similar","no increase",NA,0.7
2024,"region_3","lutjanus","maximally harvested",318763.56,"decreased","no increase",NA,0.8
2021,"region_3","megapitaria","maximally harvested",25000,"increased","no increase","Within region variation in status, took most conservative",0.6
2022,"region_3","megapitaria","maximally harvested",1500,"decreased","no increase","Within region variation in status, took most conservative",0.8
2019,"region_3","megastraea","maximally harvested",60431,"similar","no increase",NA,0.7
2020,"region_3","megastraea","maximally harvested",82824,"increased","no increase",NA,0.6
2021,"region_3","megastraea","maximally harvested",26152,"decreased","no increase",NA,0.8
2022,"region_3","megastraea","maximally harvested",103628,"increased","no increase",NA,0.6
2023,"region_3","megastraea","maximally harvested",43085,"decreased","no increase",NA,0.8
2024,"region_3","megastraea","maximally harvested",74893,"increased","no increase",NA,0.6
2019,"region_3","mugil","maximally harvested",44906,"increased","no increase",NA,0.6
2020,"region_3","mugil","maximally harvested",20410,"decreased","no increase",NA,0.8
2021,"region_3","mugil","maximally harvested",23892,"similar","no increase",NA,0.7
2022,"region_3","mugil","maximally harvested",23876,"similar","no increase",NA,0.7
2023,"region_3","mugil","maximally harvested",15810,"decreased","no increase",NA,0.8
2024,"region_3","mugil","maximally harvested",11957,"decreased","no increase",NA,0.8
2019,"region_3","mustelus","maximally harvested",5282,"increased","no increase",NA,0.6
2020,"region_3","mustelus","maximally harvested",11023,"increased","no increase",NA,0.6
2021,"region_3","mustelus","maximally harvested",8576,"decreased","no increase",NA,0.8
