"main_species_group","recorded_species_name_clean","species_estimated","genus_estimated","family_estimated","source_of_estimate","classification_certainty","recorded_prep_types"
"TIBURON","TIBURON ZORRO",NA,"Alopias","Alopiidae","logical conclusion based on research; dataMares","high","DESV., ENT., DESC., FCO."
"TIBURON","TIBURON ZORRO (ALOPIAS PELAGICUS)","Alopias pelagicus","Alopias","Alopiidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ZORRO (ALOPIAS VULPINUS)","Alopias vulpinus","Alopias","Alopiidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ZORRO NEGRO","Alopias superciliosus","Alopias","Alopiidae","logical conclusion based on research","high","ALETA, SECA DE"
"TIBURON","TIBURON ZORRO NEGRO (ALOPIAS SUPERCILIOSUS)","Alopias superciliosus","Alopias","Alopiidae","taxize","high","ALETA, DESV, FILETE, SECA DE, FCO, DESC"
"TIBURON","TIBURON ZORRO PELAGICO, PERRO","Alopias pelagicus","Alopias","Alopiidae","logical conclusion based on research","high","DESV., DESC., FCO."
"TIBURON","TIBURON ZORRO PINTO","Alopias vulpinus","Alopias","Alopiidae","logical conclusion based on research","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ZORRO PINTO (ALOPIAS VULPINUS)","Alopias vulpinus","Alopias","Alopiidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TIBURON ZORRO PINTO, ZORRO COMUN, COLUDO PINTO","Alopias vulpinus","Alopias","Alopiidae","logical conclusion based on research","high","DESV., ENT., FCO., DESC."
"TIBURON","TINTORERA (GALEOCERDO CUVIER)","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","taxize","high","DESC., DESV., ENT., FCA."
"TIBURON","TORO","Carcharhinus leucas","Carcharhinus","Carcharhinidae","logical conclusion based on research; dataMares","high","DESV., ENT., FCO., DESC."
"TIBURON","TORO (CARCHARHINUS LEUCAS)","Carcharhinus leucas","Carcharhinus","Carcharhinidae","taxize","high","DESV., ENT., FCO., DESC."
"TIBURON","TRIPA",NA,NA,NA,"shark; unable to specify species, genus, or family","high","DESC., DESV., ENT., FILETE DE, FCA., FCO."
