"year","OHI_Region_No","Major_Functional_Group","Total_Biomass_kg","Total_Days","OLD_mean_CPUE.recent","NEW_mean_CPUE.recent","Total_Value_mxn","n_records"
2022,"Region_8","Pelagic marine fishes",164900781.79,50191,8892.13710387228,3285.46515889303,1087768988.35,5047
2022,"Region_8","Sharks",5594688.65,22569,677.082887572622,247.892624839381,123262671.55,2632
2022,"Region_8","Shrimps, prawns",23697843.4,104160,1160.84468590745,227.513857526882,2020325476.67,11144
2022,"Region_8",NA,252820.58,8216,84.7141753647116,30.7717356377799,4543233,515
2022,"Region_9","Cephalopods",12810,894,21.9541262262336,14.3288590604027,1423100,19
2022,"Region_9","Crustaceans",135995.5,1752,655.935198018577,77.623002283105,2382389,174
2022,"Region_9","Demersal marine fishes",4555692.35,89709,115.681554711457,50.7830022628722,154599039,14546
2022,"Region_9","Diadromous fishes",13017.7,84,123.786592818946,154.972619047619,360411,14
2022,"Region_9","Marine fishes NEI",859285.75,16313,131.247389108312,52.6749065162754,17473346,2279
2022,"Region_9","Molluscs excl. Cephalopods",580995,970,774.96568354288,598.963917525773,14230416,318
2022,"Region_9","Pelagic marine fishes",1378131.6,19447,179.106604769034,70.8660256080629,60860300,3050
2022,"Region_9","Sharks",1022053.1,9588,193.818725754869,106.597110972048,20669905,1730
2022,"Region_9","Shrimps, prawns",1556045.2,3362,1270.61247612222,462.833194527067,83746580,729
2022,"Region_9",NA,241841.9,8288,51.6081047075476,29.1797659266409,4452699,723
2023,"Region_1","Cephalopods",2042,35,58.0111111111111,58.3428571428571,79055,15
2023,"Region_1","Crustaceans",61638,257,308.075617283951,239.836575875486,11985345,108
