"recorded_taxa_group","common_name_clean","estimated_species_name.x","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_taxa_group","estimated_species_name.y","Manual_Classification_Notes","ornamentalFLAG_1","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group"
"OTRAS","lacha","Brevoortia pectinata","high confidence","match to Hem's key","Brevoortia","genus derived from known species",NA,"Brevoortia pectinata","Gulf menhaden","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cangrejo rey","Chaceon affinis","high confidence","match to Hem's key","Chaceon","genus derived from known species",NA,"Chaceon affinis","Deep-sea red crab","NO",NA,"Crustaceans","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","serrano","Alphestes galapagensis","high confidence","match to Hem's key","Alphestes","genus derived from known species",NA,"Alphestes galapagensis","Galapagos rockcod","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","sargo","Diplodus sargus","high confidence","match to Hem's key","Diplodus","genus derived from known species",NA,"Diplodus sargus","White seabream","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","pez se√±orita","Albula vulpes","high confidence","match to Hem's key","Albula","genus derived from known species",NA,"Albula vulpes","Bonefish","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","coruco","Cathorops aguadulce","high confidence","match to Hem's key","Cathorops","genus derived from known species",NA,"Cathorops aguadulce","Freshwater sea catfish","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","escochin","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Triggerfish?","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","charrito","Trachurus Symmetricus","virtually certain","name was recorded in CONAPESCA","Trachurus","genus derived from known species",NA,"unknown","Likely some form of jack mackerel or lookdown","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","charrito","Trachurus Symmetricus","virtually certain","name was recorded in CONAPESCA","Trachurus","genus derived from known species",NA,"Trachurus Symmetricus","Pacific jack mackerel","NO",NA,"Pelagic marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","pez payaso ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,NA,NA,NA,NA,NA,NA
"PECES DE ORNATO","tetra ping√ºino","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","freshwater tetra","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","angel","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Angel fish, pressumably freshwater but not totally clear; ask an expert","YES",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","barbo tigre","Sumatrano","virtually certain","name was recorded in CONAPESCA","Sumatrano","genus derived from known species",NA,"Sumatrano","Freshwater bard (small) fish","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","cebra rayada","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Zabra danio small fish","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","beta","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Beta fish","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","tetra rojo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","freshwater tetra","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","plantas acuaticas","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Plants or algae of some sort","NO",NA,"Marine algae","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","peces ornato","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Generic category; cannot assign species or genus.","YES",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","guppy","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","freshwater guppy","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","tetra buenos aires","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","freshwater tetra","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"PECES DE ORNATO","barbo","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Freshwater bard (small) fish","YES",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","sanducha","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… A shelfish of some sort?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","topuche","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","I don't know what this is… A shelfish of some sort?","NO",NA,"unknown","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","cuchilla","Dorosoma cepedianum","high confidence","match to Hem's key","Dorosoma","genus derived from known species",NA,"Dorosoma cepedianum","Gizzard shad","NO",NA,"Freshwater fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","congrio","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","An eel of some sort","NO",NA,"Demersal marine fishes","Assigned_Manually: OTRAS treated differently than other major groups"
"OTRAS","coral blanco","unknown","not applicable","no data in keys",NA,"genus unknown",NA,"unknown","Coral; likely ornamental?","POSSIBLY",NA,"Other marine invertebrates","Assigned_Manually: OTRAS treated differently than other major groups"
