"state","landing_site","inside_GOC","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SONORA","LOS BA√ëOS","yes",NA,26.3755,-109.164,NA,NA,NA,26.3755,-109.164,"Sonora_South",NA
"SINALOA","PRESA GUSTAVO DIAZ ORDAZ (BACURATO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PLAYA DE TEACAPAN",NA,NA,22.563,-105.767,"high confidence",22.563,-105.767,NA,NA,NA,NA
"SINALOA","ESTERO LAS LAJITAS",NA,NA,26.1080348,-109.37634005,"high confidence",26.1080348,-109.37634005,NA,NA,NA,NA
"SINALOA","CAMPO EL HECHO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","BARRA DE PIAXTLA",NA,NA,23.6636111,-106.8013888,"high confidence",23.6636111,-106.8013888,NA,NA,NA,NA
"SINALOA","CERRITOS",NA,NA,24.513915,-107.4345,"high confidence",24.513915,-107.4345,NA,NA,NA,NA
"SINALOA","PLAYA SUR",NA,NA,23.17297755,-106.39022385,"high confidence",23.17297755,-106.39022385,NA,NA,NA,NA
"SINALOA","MEDINA",NA,NA,23.91937,-106.875,"high confidence",23.91937,-106.875,NA,NA,NA,NA
"SONORA","PE√ëASCO","yes",NA,31.31,-113.54,NA,NA,NA,31.31,-113.54,"Sonora_North",NA
"SONORA","BAHIA YAVAROS","yes",NA,26.7,-109.487,"high confidence",26.7,-109.487,26.7,-109.487,"Sonora_South",NA
"SONORA","PRESA EL NOVILLO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SONORA","BAHIA KINO","yes",NA,28.7912,-111.958,NA,NA,NA,28.7912,-111.958,"Sonora_Mid",NA
"SINALOA","PRESA MIGUEL HIDALGO Y COSTILLA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PRESA GUILLERMO BLAKE AGUILAR (SABINAL)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","LA ARENITAS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","DIQUE LOS BECOS",NA,NA,24.6281083,-107.30112235,"high confidence",24.6281083,-107.30112235,NA,NA,NA,NA
"SINALOA","CORTINA DE LA PRESA ADOLFO LOPEZ MATEOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PRESA JOSEFA ORTIZ DE DOMINGUEZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","RAMPA, LA (DARSENA NO. 1)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","BOCA DE CAMICHIN",NA,NA,21.7429736111111,-105.488445,"high confidence",21.7429736111111,-105.488445,NA,NA,NA,NA
"NAYARIT","EMBARCADERO DE PTA. DE PALAPARES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","BORDO, EL (MALECON DE FCO. VILLA)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","CABEZA DE CANOA",NA,NA,21.9897,-105.4711,"high confidence",21.9897,-105.4711,NA,NA,NA,NA
"NAYARIT","PASO DE AHUAPAN",NA,NA,21.5952445,-104.59117105,"high confidence",21.5952445,-104.59117105,NA,NA,NA,NA
"NAYARIT","PASO DE LOZADA",NA,NA,21.517,-104.538,"high confidence",21.517,-104.538,NA,NA,NA,NA
"NAYARIT","ESCOLLERA, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","BAHIA DE MELAQUE","no","marine",19.2273,-104.7001,NA,NA,NA,19.2273,-104.7001,NA,"Melaque beach/bay area, Municipality of Cihuatlán – fishing & tourism zone. Accurate coastal point."
"NAYARIT","CANAL DE CUAUTLA",NA,NA,22.2183,-105.6417,"high confidence",22.2183,-105.6417,NA,NA,NA,NA
"NAYARIT","LAGUNA LA HONDA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","MORILLOS, LOS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","BAHIA DE YELAPA",NA,"marine",20.4858,-105.4426,NA,NA,NA,20.4858,-105.4426,"Nayarit/Jalisco","Yelapa cove, Municipality Cabo Corrientes; common coastal fishing village."
"NAYARIT","PUERTA DEL RIO",NA,NA,22.3852865277778,-105.640927222222,"high confidence",22.3852865277778,-105.640927222222,NA,NA,NA,NA
"JALISCO","PRESA LAGUNILLAS",NA,"freshwater",20.5428,-103.8742,NA,NA,NA,20.5428,-103.8742,"Nayarit/Jalisco","“Presa Lagunillas (Tequila-Magdalena area)” – near Tequila/Magdalena, Jalisco."
"JALISCO","PRESA GARABATOS",NA,"freshwater",20.7815,-103.8338,NA,NA,NA,20.7815,-103.8338,"Nayarit/Jalisco","“Presa Los Garabatos”, typically listed in Teuchitlán/Ameca region; hydrology matches here."
"JALISCO","EL SALTO",NA,"freshwater",20.9966714814815,-103.241608240741,"alert 2: multiple lat-long values in Hem's key that are more than 1 degree apart",20.9966714814815,-103.241608240741,20.5155,-103.1758,"Nayarit/Jalisco","El Salto, Jalisco (municipality of El Salto, SE of Guadalajara)."
