"recorded_taxa_group","estimated_taxa_group","common_name_clean","estimated_species_name","estimated_genus_name","IHH_functional_major_groups_sm","Major_Functional_Group","Assignment_for_Major_Functional_Group","Manual_Classification_Notes","species_est_certainty","species_est_reasoning","genus_est_reasoning","ornamentalFLAG_1"
"JUREL","JUREL",NA,NA,NA,NA,"Pelagic marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Lamna","Demersal marine fishes","Sharks","Manual patch, come back to correctly file PETO and Lamna. Issue can be traced back to Hem's species key.",NA,NA,NA,NA,NA
"ALGAS","ALGAS",NA,NA,"Gelidium",NA,"Marine algae","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"PEPINO DE MAR","PEPINO DE MAR",NA,NA,"Especies",NA,"Echinoderms","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"LISA","LISA",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LANGOSTINO","LANGOSTINO",NA,NA,NA,NA,"Shrimps, prawns","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Litopenaeus","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,NA,"Farfantepenaeus",NA,"Shrimps, prawns","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"Diapterus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LEBRANCHA","LISA",NA,NA,"Mugil","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"Dosinia","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA",NA,NA,"NEI","Crustaceans","Crustaceans","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CALAMAR","CALAMAR",NA,NA,NA,NA,"Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"SARDINA","SARDINA",NA,NA,"NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"PARGO","CABRILLA",NA,NA,"Paralabrax","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ALMEJA","ALMEJA",NA,NA,"NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RUBIA Y VILLAJAIBA","RUBIA Y VILLAJAIBA",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"JUREL","BONITO",NA,NA,"Caranx","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Megathura","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Lobatus","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BANDERA","BAGRE",NA,NA,"Ariopsis","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Triplofusus",NA,"Molluscs excl. Cephalopods","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"CABRILLA","CABRILLA",NA,NA,"Mycteroperca prionura","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA Y SIMILARES",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Sphyrna","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"PETO","PETO",NA,NA,"Lamna",NA,"Demersal marine fishes","Assigned_Step_2: based on genus-level details; interpolated Major_Functional_Group based on records with matching genus name.",NA,NA,NA,NA,NA
"PAMPANO","PAMPANO",NA,NA,"Gnathanodon","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"LANGOSTINO","LANGOSTINO",NA,NA,"Macrobrachium","Shrimps, prawns","Shrimps, prawns","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"OSTION","OSTION",NA,NA,"NEI","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"OSTION","OSTION",NA,NA,"Crassostrea",NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"LEBRANCHA","LEBRANCHA",NA,NA,NA,NA,"Demersal marine fishes","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"BAGRE","BAGRE",NA,NA,NA,NA,"Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,"Epinephelus","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MERO","MERO",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ATUN","ATUN",NA,NA,"NEI","Pelagic marine fishes","Pelagic marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,NA,"NEI","Marine fishes NEI","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,"Hexaplex","Molluscs excl. Cephalopods","Molluscs excl. Cephalopods","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CARACOL","CARACOL",NA,NA,NA,NA,"Molluscs excl. Cephalopods","Assigned_Step_4: assigned Major_Functional_Group based on the average IHH functional group associated with this recorded_taxa_group.",NA,NA,NA,NA,NA
"RUBIO","GUACHINANGO",NA,NA,"Lutjanus","Marine fishes NEI","Demersal marine fishes","Assigned_Step_3: forced genus-level consistency; if genus is equal then assume Major_Functional_Group is equal too.",NA,NA,NA,NA,NA
"ALGAS","ALGAS",NA,NA,NA,NA,"Marine algae","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"ERIZO","ERIZO",NA,NA,"Mesocentrotus","Miscellaneous aquatic animals","Echinoderms","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"PARGO","CABRILLA",NA,NA,"Mycteroperca","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BAGRE","BAGRE",NA,NA,"NEI","Marine fishes NEI","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"CHARAL","CHARAL",NA,NA,"NEI","Marine fishes NEI","Marine fishes NEI","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"TRUCHA","TRUCHA",NA,NA,"NEI","Marine fishes NEI","Marine or freshwater fishes NEI","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"SARGAZO","SARGAZO",NA,NA,NA,NA,"Marine algae","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"RONCO","RONCO",NA,NA,"NEI","Marine fishes NEI","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"ERIZO","ERIZO",NA,NA,"Strongylocentrotus","Miscellaneous aquatic animals","Echinoderms","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"TIBURON","TIBURON",NA,NA,"Prionace","Demersal marine fishes","Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
"MOJARRA","RUBIO",NA,NA,"Haemulon","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"BERRUGATA","BERRUGATA",NA,NA,"NEI","Demersal marine fishes","Demersal marine fishes","Assigned_Step_1: based directly on IHH_functional_major_group assignment for this genus in this group.",NA,NA,NA,NA,NA
"CAZON","CAZON",NA,NA,NA,NA,"Sharks","Assigned_Step_6: manual patch",NA,NA,NA,NA,NA
