"Major_Functional_Group","recorded_taxa_group","estimated_genus_name","estimated_species_name","states","n_records_2000.2025"
"demersal marine fishes","OTRAS","chaetodipterus","chaetodipterus faber","NAYARIT, SINALOA, SONORA",29
"demersal marine fishes","OTRAS","cheilotrema","cheilotrema saturnum","SINALOA",21
"demersal marine fishes","OTRAS","diplectrum","diplectrum pacificum","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",4402
"demersal marine fishes","OTRAS","diplodus","diplodus sargus","BAJA CALIFORNIA, NAYARIT, SINALOA, SONORA",17
"demersal marine fishes","OTRAS","elops","elops affinis","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",450
"demersal marine fishes","OTRAS","epinephelus","epinephelus analogus","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",1067
"demersal marine fishes","OTRAS","epinephelus","epinephelus labriformis","JALISCO, NAYARIT, SONORA",43
"demersal marine fishes","OTRAS","eucinostomus","eucinostomus argenteus","BAJA CALIFORNIA SUR, NAYARIT, SINALOA, SONORA",25
"demersal marine fishes","OTRAS","eucinostomus","eucinostomus gracilis","JALISCO, SONORA",34
"demersal marine fishes","OTRAS","fistularia","fistularia commersonii","BAJA CALIFORNIA",1
"demersal marine fishes","OTRAS","gillichthys","gillichthys mirabilis","BAJA CALIFORNIA",2
"demersal marine fishes","OTRAS","haemulon","haemulon flavolineatum","BAJA CALIFORNIA",1
"demersal marine fishes","OTRAS","haemulon","haemulon maculicauda","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, JALISCO, NAYARIT, SINALOA, SONORA",80451
"demersal marine fishes","OTRAS","helicolenus","helicolenus dactylopterus","BAJA CALIFORNIA SUR, SINALOA, SONORA",37
"demersal marine fishes","OTRAS","holocentrus","holocentrus ascensionis","NAYARIT, SONORA",3
"demersal marine fishes","OTRAS","hoplopagrus","hoplopagrus guentherii","BAJA CALIFORNIA, BAJA CALIFORNIA SUR, NAYARIT, SINALOA",10
"demersal marine fishes","OTRAS","kyphosus","kyphosus elegans","BAJA CALIFORNIA SUR",5
"demersal marine fishes","OTRAS","lujtanus","lujtanus cyanopterus","NAYARIT, SINALOA",5
