"year","OHI_region_no","LE_score","CW_score","AO_score","FP_score","NP_score","BD_score","SP_score","TR_score","HS_score","Index_score"
2022,"region_7",NA,85.0192446262077,77.7861089073214,66.4294154553881,52.7276430731677,76.1438253221059,74.4173992673993,73.3213292204096,80.3066067670677,73.2689465798834
2022,"region_8",NA,72.7784146356903,79.0032284765268,75.1434963664941,60.0081614664115,66.0936250048773,73.6189743589744,77.6998066455388,74.877743960349,72.4029313643578
2022,"region_9",NA,77.0384661084333,90.5164906727343,61.4704217407073,56.6404544607616,68.6991118819383,75.3320243531202,66.6002679196199,83.8229443553642,72.5150226865849
2022,NA,NA,NA,69.1142829350433,NA,NA,NA,NA,NA,NA,69.1142829350433
2023,"region_1",75.3455884392486,75.4701772962989,73.0774151157404,57.0302038771914,2.35456248827643,76.3351550414613,62.1714285714286,52.3486046840602,99.5962172379675,63.747705861297
2023,"region_2",NA,97.368468669967,78.8403974450952,87.9773283537502,56.6815140197378,76.0342934351972,73.8631677350427,78.8827689514143,99.9534470104944,81.2001732025874
2023,"region_3",75.336675208804,97.5279406557693,53.1350104410315,59.5293727141935,55.630623534175,77.5655917513262,76.4112103174603,71.4918676300903,99.6938435771734,74.0357928700026
2023,"region_4",92.5544309184382,95.2402486541798,70.384232805294,65.3545930527196,38.3708858748838,73.0690363958281,74.068384657545,67.9159088069653,83.4873986200777,73.3827910873257
2023,"region_5",73.1785718556537,91.7237748362756,61.7394485400674,81.3949760783322,47.3100507857263,66.6683483080078,64.0947278911565,68.3241659575633,84.502625821479,70.9929655638069
2023,"region_6",84.2423553094944,89.6471727115471,77.807815316682,32.2792552382915,46.0992432995924,79.4436796278348,73.8561904761905,76.8327355078412,80.4924938424676,71.1889934811046
2023,"region_7",83.598075222688,79.0848797038912,76.3290772613785,64.8649578716924,55.9816681686939,75.014184931929,74.4173992673993,77.4129118049796,80.3066067670677,74.1121956666355
2023,"region_8",83.9361965641122,68.422727538128,72.5422336345486,74.2357627865434,51.2575059893173,66.3493561584221,73.6189743589744,80.1420470538119,74.877743960349,71.7091720049119
2023,"region_9",79.3448071434429,77.4240884649058,85.1579102858109,63.2235331512127,47.5906426854423,68.5886615651589,75.3320243531202,69.6278424550017,83.8229443553642,72.2347171621622
2023,NA,NA,NA,78.0653045660527,NA,NA,NA,NA,NA,NA,78.0653045660527
2024,"region_1",NA,74.5953154417999,63.4845456965312,50.9659650515643,33.073001289002,76.9208098569473,61.8142857142857,49.7946187639732,99.5962172379675,63.7805948815089
2024,"region_2",NA,94.9819695798198,74.4910360125677,80.3653879278378,54.4878503452511,74.7944908731851,73.670860042735,79.8090206491001,99.9534470104944,79.0692578051239
2024,"region_3",NA,97.5519235696131,55.4568790549795,58.9407468824658,13.2102948452358,77.6820688981771,75.6175595238095,68.6760787136033,99.6938435771734,68.3536743831322
2024,"region_4",NA,94.8650036500602,71.040479838661,66.8129187593876,44.1432499863987,72.5243863126886,72.7242986360396,68.8912009796504,83.4873986200777,71.8111170978705
2024,"region_5",NA,92.7030011218491,86.4240196294493,78.3229776090355,33.2234263409911,66.9763830662527,64.0947278911565,68.6619367411986,84.502625821479,71.8636372776765
2024,"region_6",NA,89.9398500332513,69.3836507725678,32.7955725743912,67.490052021809,79.5231222135226,73.6895238095238,78.5358282782572,80.4924938424676,71.4812616932238
2024,"region_7",NA,81.7973595405701,38.9348772566972,59.9712374760736,53.0183134213992,74.8150231437257,74.2571428571429,77.1580446906446,80.3066067670677,67.5323256441651
2024,"region_8",NA,71.7100372501019,63.1188182686253,75.8768286305268,48.2908978001713,65.8634783132654,73.4453632478632,78.3379086095358,74.877743960349,68.9401345100548
2024,"region_9",NA,69.5716803710706,85.3075913651987,58.1794547573001,53.93791537773,67.9427665438055,73.619695585997,71.9070627933312,83.8229443553642,70.5361388937247
2024,NA,NA,NA,68.8927704308187,NA,NA,NA,NA,NA,NA,68.8927704308187
2025,"region_1",NA,76.1790463033847,NA,NA,NA,76.7734451071828,61.1,42.1622494357355,99.5962172379675,71.1621916168541
2025,"region_2",NA,94.3043733481035,NA,NA,NA,74.241110881615,73.2862446581197,66.0262512543917,99.9534470104944,81.5622854305449
2025,"region_3",NA,97.0138760900657,NA,NA,NA,76.2932566656714,75.2207341269841,67.4292739351958,99.6938435771734,83.1301968790181
2025,"region_4",NA,94.2051522276248,NA,NA,NA,72.5293372233556,72.4554814317385,65.2672102338342,83.4873986200777,77.5889159473262
2025,"region_5",NA,94.4666931179565,NA,NA,NA,69.2116102549713,63.5845238095238,64.6166610093917,84.502625821479,75.2764228026645
2025,"region_6",NA,89.5796874931367,NA,NA,NA,79.9623832525731,73.3561904761905,78.5707383563335,80.4924938424676,80.3922986841403
2025,"region_7",NA,69.7833602144756,NA,NA,NA,74.3865675480579,73.93663003663,72.0521727484293,80.3066067670677,74.0930674629321
2025,"region_8",NA,70.3311418619001,NA,NA,NA,64.9841281871265,73.098141025641,73.2632562752264,74.877743960349,71.3108822620486
2025,"region_9",NA,71.976965831346,NA,NA,NA,67.4761708958179,73.2772298325723,67.961287797498,83.8229443553642,72.9029197425197
