"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2022,"region_2","dosidicus gigas","species","dosidicus",922,15,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_2","dosidicus gigas","species","dosidicus",1209,27,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2024,"region_2","dosidicus gigas","species","dosidicus",485,6,9084.275,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2022,"specifically says to not increase fishing effort in the Gulf of California","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_2","dosinia ponderosa","species","dosinia",28139,32,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2019,"region_2","dosinia ponderosa","species","dosinia",36131,27,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.883800614430821
2020,"region_2","dosinia ponderosa","species","dosinia",32397,46,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2021,"region_2","dosinia ponderosa","species","dosinia",9731,19,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2022,"region_2","dosinia ponderosa","species","dosinia",53265,56,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.599504364967615
2023,"region_2","dosinia ponderosa","species","dosinia",26313,35,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",1
2024,"region_2","dosinia ponderosa","species","dosinia",49876,24,31932.6,5,"maximally harvested","no increase","gapfilled estimate; no Carta recommendation for this species in this specific region",2023,NA,"gapfilled estimate; no Carta recommendation for this species in this specific region","catch should not exceed 2018-2022 mean",0.640239794690833
2018,"region_2","galeorhinus galeus","species","galeorhinus",440,3,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2020,"region_2","galeorhinus galeus","species","galeorhinus",2010,4,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_2","galeorhinus galeus","species","galeorhinus",1050,3,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_2","galeorhinus galeus","species","galeorhinus",5149.55,6,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.419917759804255
2023,"region_2","galeorhinus galeus","species","galeorhinus",250,1,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2024,"region_2","galeorhinus galeus","species","galeorhinus",3749.9,9,2162.3875,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.576652044054508
2018,"region_2","gelidium robustum","species","gelidium",72900,2,233980,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2012,"All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2019,"region_2","gelidium robustum","species","gelidium",825000,15,233980,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2012,"All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.283612121212121
2020,"region_2","gelidium robustum","species","gelidium",120600,4,233980,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2012,"All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2021,"region_2","gelidium robustum","species","gelidium",150000,2,233980,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2012,"All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_2","gelidium robustum","species","gelidium",1400,1,233980,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2012,"All 4 species are in Baja Cali/Baja Cali Sur, but from what I gathered from the text/map, they are on the west coast not actually the gulf of california.","original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_2","hoplopagrus guentherii","species","hoplopagrus",43,2,1030.68,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
