"year","OHI_region_est","taxon_key","taxon_level","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n.years_Catch_2018.22","status","control","carta_source","Year_of_Recommendation","notes","carta_recommendation_source","catch_vs_reference_expectation","Stock_Status"
2022,"region_1","scomberomorus sierra","species","scomberomorus",1036517,96,405880.2,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.391580842378851
2023,"region_1","scomberomorus sierra","species","scomberomorus",723256,113,405880.2,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.561184698087537
2024,"region_1","scomberomorus sierra","species","scomberomorus",1441634,137,405880.2,5,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.281541778287693
2018,"region_2","carcharhinus falciformis","species","carcharhinus",163909.9,9,72802.1,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.444159260666988
2020,"region_2","carcharhinus falciformis","species","carcharhinus",77134.2,6,72802.1,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",0.943836845394131
2021,"region_2","carcharhinus falciformis","species","carcharhinus",13147.2,3,72802.1,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2022,"region_2","carcharhinus falciformis","species","carcharhinus",37017.1,6,72802.1,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2023,"region_2","carcharhinus falciformis","species","carcharhinus",30368,3,72802.1,4,"maximally harvested","no increase","original estimate; Carta recommendation available for this species in this region",2023,NA,"original estimate; Carta recommendation available for this species in this region","catch should not exceed 2018-2022 mean",1
2018,"region_2","cynoscion acoupa","species","cynoscion",246158.65,196,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.899704276083737
2019,"region_2","cynoscion acoupa","species","cynoscion",224788.5,259,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2020,"region_2","cynoscion acoupa","species","cynoscion",195657.35,263,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2021,"region_2","cynoscion acoupa","species","cynoscion",316389.15,280,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.699992366994886
2022,"region_2","cynoscion acoupa","species","cynoscion",124356.3,288,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",1
2023,"region_2","cynoscion acoupa","species","cynoscion",379092,348,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.584211721692887
2024,"region_2","cynoscion acoupa","species","cynoscion",359290.4,448,221469.99,5,"maximally harvested","no increase",NA,NA,NA,"genus fallback; genus aggregation; took the mode across all Carta recommendations supplied for this genus in this region (in the case of ties: chose the most conservative status and control)","catch should not exceed 2018-2022 mean",0.616409428139466
