"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"LISA","LISETA",NA,FALSE,"liseta","Escama","Mugil curema","Species","Mugil curema","Mugil","Mugilidae","Mugiliformes","Actinopterygii","Demersal marine fishes","Mugil curema","Mugil hospes","Mugil setosus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BANDERA","BANDERA",NA,FALSE,"bandera","Escama","Gerres cinereus","Species","Gerres cinereus","Gerres","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus taeniatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBALO","CONSTANTINO",NA,FALSE,"constantino","Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus pectinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERRUGATA","BERRUGATA",NA,FALSE,"berrugata","Escama","Micropogonias ectenes","Species","Micropogonias ectenes","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAQUETA","BAQUETA",NA,FALSE,"baqueta","Escama","Hyporthodus acanthistius","Species","Hyporthodus acanthistius","Hyporthodus","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Hyporthodus acanthistius ","Hyporthodus niphobles",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CONEJO",NA,FALSE,"conejo","Escama","Caulolatilus affinis","Species","Caulolatilus affinis","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Euthynnus alletaratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ROBALO","ROBALO",NA,FALSE,"robalo","Escama","Centropomus armatus","Species","Centropomus armatus","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Centropomus armatus","Centropomus medius","Centropomus robalito","Centropomus unionensis","Centropomus viridis","Centropomus pectinatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUACHINANGO","GUACHINANGO (LUTJANUS CAMPECHANUS)","Lutjanus campechanus",TRUE,"guachinango","Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA",NA,FALSE,"mojarra","Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ALMEJA","ALMEJA PATA MULA",NA,FALSE,"almeja pata mula",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
