"recorded_taxa_group","recorded_taxa_name_clean","recorded_scientific_name","scientific_name_recorded_T.F","recorded_common_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","Hem_species_21","Hem_species_22","Hem_species_23","Hem_species_24","Hem_species_25","Hem_species_26","Hem_species_27","Hem_species_28","Hem_species_29","Hem_species_30","Hem_species_31","Hem_species_32","Hem_species_33","Hem_species_34","Hem_species_35","Hem_species_36","Hem_species_37","Hem_species_38","Hem_species_39","Hem_species_40","Hem_species_41","Hem_species_42","Hem_species_43","Hem_species_44","Hem_species_45","Hem_species_46","Hem_species_47"
"TIBURON","TORO",NA,FALSE,"toro","Tiburon","Carcharhinus leucas","Species","Carcharhinus leucas","Carcharhinus","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Carcharhinus leucas",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OSTION","OSTION ROCA",NA,FALSE,"ostion roca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","PARGO",NA,FALSE,"pargo","Escama","Lutjanus adetii","Species","Lutjanus adetii","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PARGO","COCONACO",NA,FALSE,"coconaco","Escama","Hoplopagrus guentherii","Species","Hoplopagrus guentherii","Hoplopagrus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Hoplopagrus guentherii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LENGUADO","LENGUA",NA,FALSE,"lengua","Escama","Brotula clarkae","Species","Brotula clarkae","Brotula","Ophidiidae","Ophidiiformes","Actinopterygii","Demersal marine fishes","Symphurus atramentatus","Symphurus atricaudus","Symphurus callopterus","Symphurus chabanaudi","Symphurus elongatus","Symphurus gorgonae","Symphurus leei","Symphurus melanurus","Symphurus melasmatotheca","Symphurus oligomerus","Symphurus prolatinaris","Symphurus undecimplerus","Symphurus williamsi","Symphurus fasciolaris",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONCO","RONCACHO",NA,FALSE,"roncacho","Escama","Haemulopsis leuciscus","Species","Haemulopsis leuciscus","Haemulopsis","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Cheilotrema saturnum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BACOCO",NA,FALSE,"bacoco","Escama","Anisotremus interruptus","Species","Anisotremus interruptus","Anisotremus","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Haemulon scudderii","Anisotremus caesius","Anisotremus dovii","Anisotremus interruptus","Anisotremus pacifici","Anisotremus taeniatus","Haemulon sexfasciatum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MERO","MERO (EPINEPHELUS SPP)","Epinephelus spp",TRUE,"mero","Escama","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA PLATEADA",NA,FALSE,"mojarra plateada","Escama","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Eucinostomus argenteus","Eucinostomus currani","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PALETA",NA,FALSE,"paleta","Escama","Centropomus medius","Species","Centropomus medius","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Caulolatilus cyanops","Centropomus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LISA","LISA (MUGIL CEPHALUS)","Mugil cephalus",TRUE,"lisa","Escama","Mugil cephalus ; Mugil curema ; Mugil hospes","Other - Group of Taxa","NEI","Mugil","Mugilidae","Mugiliformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRON",NA,FALSE,"mojarron","Escama","Calamus brachysomus","Species","Calamus brachysomus","Calamus","Sparidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus caesius","Anisotremus interruptus","Anisotremus taeniatus","Haemulon flaviguttatum","Haemulon steindachneri","Haemulopsis axillaris","Haemulopsis leuciscus","Microlepidotus inornatus","Pomadasys bayanus","Pomadasys macracanthus","Pomadasys panamensis","Calamus brachysomus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PAMPANO","PALOMETA",NA,FALSE,"palometa","Escama","Trachinotus africanus","Species","Trachinotus africanus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Diapterus aureolus","Eugerres líneatus","Caranx caballus","Carangoides otrynter","Gnathanodon speciosus","Hemicaranx zelotes","Oligoplites altus","Oligoplites refulgens","Selene brevoortii","Selene peruviana","Trachinotus kennedyi","Trachinotus paitensis","Trachinotus rhodopus","Peprilus medius","Peprilus simillimus","Peprilus snyderi","Peprilus ovatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERRUGATA","BOCADULCE",NA,FALSE,"bocadulce","Escama","Menticirrhus nasus","Species","Menticirrhus nasus","Menticirrhus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Menticirrhus elongatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUREL","JUREL (SERIOLA LALANDI)","Seriola lalandi",TRUE,"jurel","Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CALAMAR","CALAMAR",NA,FALSE,"calamar","Calamar","Dosidicus gigas","Species","Dosidicus gigas","Dosidicus","Ommastrephidae","Oegopsida","Cephalopoda","Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","OTRAS ESPECIES",NA,FALSE,"otras especies","No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PICUDA",NA,FALSE,"picuda","No ID","Sphyraena spp","Genus","NEI","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JUREL","JUREL",NA,FALSE,"jurel","Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CABRILLA","VERDILLO",NA,FALSE,"verdillo","Escama","Paralabrax nebulifer","Species","Paralabrax nebulifer","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Paralabrax clathratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","LAPON",NA,FALSE,"lapon","Escama","Scorpaena mystes","Species","Scorpaena mystes","Scorpaena","Scorpaenidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Pontinus sierra","Pontinus furcirhinus","Pontinus vaughani","Scorpaena histrio","Scorpaena russula","Scorpaena sonorae","Scorpaenodes xyris","Chirostoma estor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","VIEJA",NA,FALSE,"vieja","Escama","Labridae","Family","NEI","NEI","Labridae","Perciformes","Actinopterygii","Demersal marine fishes","Bodianus diplotaenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PESCADO BLANCO",NA,FALSE,"pescado blanco","No ID","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Chirostoma estor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ERIZO","ERIZO",NA,FALSE,"erizo","Erizo","Strongylocentrotus spp","Genus","NEI","Strongylocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","ROCOTE",NA,FALSE,"rocote","Escama","Sebastes spp","Genus","NEI","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Sebastes entomelas","Scorpaenodes xyris","Sebastes cortezi","Sebastes exsul","Sebastes macdonaldi","Sebastes sinensis","Sebastolobus altivelis","Sebastes atrovirens","Sebastes auriculatus","Sebastes carnatus","Sebastes chlorostictus","Sebastes chrysomelas","Sebastes constellatus","Sebastes dallii","Sebastes diploproa","Sebastes elongatus","Sebastes ensifer","Sebastes eos","Sebastes flavidus","Sebastes gilli ","Sebastes goodei","Sebastes miniatus","Sebastes mystinus","Sebastes paucispinis","Sebastes rastrelliger","Sebastes rosaceus","Sebastes rubrivinctus","Sebastes serranoides","Sebastes caurinus","Sebastes rufus ","Sebastes hopkinsi","Sebastes levis","Sebastes melanops","Sebastes melanosema","Sebastes melanostomus ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHOPA",NA,FALSE,"chopa","Escama","Kyphosidae","Family","NEI","NEI","Kyphosidae","Perciformes","Actinopterygii","Demersal marine fishes","Girella nigricans","Hermosilla azurea","Kyphosus analogus","Kyphosus elegans","Sectator ocyurus","Sectator azureus","Medialuna californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON PACOTILLA",NA,FALSE,"camaron pacotilla","Camaron","Penaeus spp","Genus","NEI","Penaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON",NA,FALSE,"camaron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON BOTALON",NA,FALSE,"camaron botalon","Camaron","Rimapenaeus pacificus","Species","Rimapenaeus pacificus","Rimapenaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Xiphopeneus riveti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRA BLANCA",NA,FALSE,"mojarra blanca","Escama","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON JAPONES",NA,FALSE,"camaron japones","Camaron","Sicyonia dorsalis","Species","Sicyonia dorsalis","Sicyonia","Sicyoniidae","Decapoda","Malacostraca","Shrimps, prawns","Sicyonia penicillata","Sicyonia picta","Sicyonia disedwardsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAMARON","CAMARON ROSADO",NA,FALSE,"camaron rosado",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metapenaeopsis mineri","Metapenaeopsis beebei","Farfantepenaeus notialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SARDINA","SARDINA BOCONA",NA,FALSE,"sardina bocona",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anchovia macrolepidota","Cetengraulis mysticetus","Anchovia rastralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MOJARRA","MOJARRITA",NA,FALSE,"mojarrita","Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ATUN","ATUN AMARILLA (THUNNUS ALBACARES)","Thunnus albacares",TRUE,"atun amarilla",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BARRILETE","BARRILETE (KATSUWONUS PELAMIS)","Katsuwonus pelamis",TRUE,"barrilete","Escama","Katsuwonus pelamis","Species","Katsuwonus pelamis","Katsuwonus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Auxis rochei","Euthynnus affinis","Euthynnus lineatus","Katsuwonus pelamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","EXTRANJERO",NA,FALSE,"extranjero","Escama","Paralabrax auroguttatus","Species","Paralabrax auroguttatus","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Diplectrum euryplectrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PIERNA","PIERNA",NA,FALSE,"pierna","Escama","Caulolatilus princeps","Species","Caulolatilus princeps","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Caulolatilus princeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BURRITO",NA,FALSE,"burrito","Escama","Orthopristis cantharinus","Species","Orthopristis cantharinus","Orthopristis","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus dovii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CANGREJO",NA,FALSE,"cangrejo","Otras","Decapoda","Order","NEI","NEI","NEI","Decapoda","Malacostraca","Shrimps, prawns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GUACHINANGO","GUACHINANGO (LUTJANUS SPP)","Lutjanus spp",TRUE,"guachinango","Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BERRUGATA","CHANO",NA,FALSE,"chano","Escama","Micropogonias megalops","Species","Micropogonias megalops","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Chanos chanos","Macrobrachium michoacanus","Haemulon flaviguttatum","Menticirrhus elongatus","Menticirrhus nasus","Menticirrhus panamensis","Menticirrhus undulatus","Micropogonias altipinnis","Micropogonias ectenes","Micropogonias megalops","Umbrina xanti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","CHIVATO",NA,FALSE,"chivato","Escama","Pseudupeneus grandisquamis","Species","Pseudupeneus grandisquamis","Pseudupeneus","Mullidae","Perciformes","Actinopterygii","Demersal marine fishes","Blennius cristatus","Mulloidichthys dentatus","Pseudupeneus grandisquamis","Lutjanus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ESMEDREGAL","MEDREGAL",NA,FALSE,"medregal","Escama","Seriola carpenteri","Species","Seriola carpenteri","Seriola","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Selar crumenophthalmus","Selene peruviana","Seriola lalandi","Seriola peruana","Seriola rivoliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","BACALAO",NA,FALSE,"bacalao","Escama","Anoplopoma fimbria","Species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Rachycentrum canadum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RONCO","RATON",NA,FALSE,"raton","Escama","Menticirrhus panamensis","Species","Menticirrhus panamensis","Menticirrhus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Mulloidichthys dentatus","Pseudupeneus grandisquamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA ROJA",NA,FALSE,"langosta roja","Langosta","Panulirus interruptus","Species","Panulirus interruptus","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans","Jasus edwardsii","Panulirus interruptus","Panulirus penicillatus","Panulirus inflatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FAUNA","FAUNA ACOMPAÑAMIENTO",NA,FALSE,"fauna acompañamiento",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"OTRAS","PERICO",NA,FALSE,"perico","No ID","Coryphaena hippurus","Species","Coryphaena hippurus","Coryphaena","Coryphaenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Scarus perrico","Scarus rubroviolaceus","Scarus ghobban","Scarus compressus ","Nicholsina denticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ABULON","ABULON",NA,FALSE,"abulon","Abulon","Haliotis spp","Genus","NEI","Haliotis","Haliotidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CARACOL","CARACOL PANOCHA",NA,FALSE,"caracol panocha","Caracol","Megastraea undosa","Species","Megastraea undosa","Megastraea","Turbinidae","Patellogastropoda","Gastropoda","Molluscs excl. Cephalopods","Megastraea turbanica","Megastraea undosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LANGOSTA","LANGOSTA CARIBE",NA,FALSE,"langosta caribe","Langosta","Panulirus inflatus","Species","Panulirus inflatus","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans","Panulirus gracilis","Panulirus inflatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
