"Region","Stock","estimated_family_name","Major_Functional_Group","estimated_taxa_group","Landings_Datasource","Sufficient_No_Years","StartYear","EndYear","int_yr","btype","Flim","Fpa","Blim","Bpa","Bmsy","B40","FMSY","MSY","MSYBtrigger","M","Fofl","last_F","q.start","q.end","FisheryStatus_Circa2000","st_b.low","st_b.hi","int_b.low","int_b.hi","end_b.low","end_b.hi","r.low","r.hi","Resilience","Resilience_Source","Yes_Run","Comment"
"goc","merluccius","merlucciidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2014,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"healthy",0.5,0.8,0.6,0.9,0.5,0.9,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","mesocentrotus","strongylocentrotidae","echinoderms","erizo","conapesca",TRUE,2000,2024,2015,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.1,NA,NA,"high","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","microlepidotus","haemulidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2018,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0,0.2,0.01,0.2,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","micropogonias","sciaenidae","demersal marine fishes","berrugata","conapesca",TRUE,2000,2024,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"sustainable",0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","mobula","myliobatidae","demersal marine fishes","raya y similares","conapesca",TRUE,2000,2019,2009,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.6,0.9,0.6,0.9,NA,NA,"low","my_best_guess","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","mugil","mugilidae","demersal marine fishes","lisa","conapesca",TRUE,2000,2024,2008,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.01,0.3,NA,NA,"medium","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","mustelus","triakidae","sharks","tiburon","conapesca",TRUE,2000,2024,2015,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.5,0.8,0.6,1,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","mycteroperca","serranidae","demersal marine fishes","cabrilla","conapesca",TRUE,2000,2024,2015,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.1,0.3,0.1,0.3,NA,NA,"low","ferrer et al_2022","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","nasolamia","carcharhinidae","sharks","tiburon","conapesca",TRUE,2007,2024,2013,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"depleted",0.1,0.3,0.2,0.4,0.01,0.4,NA,NA,"low","best_guess_mycteroperca.jordani","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","nematistius","nematistiidae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2011,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"new",0.6,0.9,0.7,1,0.01,0.2,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
"goc","nicholsina","scaridae","demersal marine fishes","otras","conapesca",TRUE,2000,2024,2004,"none",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0.2,NA,NA,NA,"too broad of a category to classify","yes","timeseries generated by erica ferrer, april 3 2026.stock is estimated at the genus level."
