"state","office_name_clean","landing_site_clean","GoC","final_lat","final_lon","final_lat.lon_level","final_lat.lon_source"
"BAJA CALIFORNIA SUR","SAN CARLOS","SAN JUANICO","no",26.2570684407407,-112.479635281481,"state_site","Hem's state.site key"
"SONORA","PUERTO LIBERTAD","NO CONSIDERADO",NA,30.6902890130593,-111.717548023723,"state_office","Hem's state.office key"
"BAJA CALIFORNIA SUR","PTO. ADOLFO LOPEZ MATEOS","SAN LUCAS","yes",22.891,-109.888,"state_site","Mel's state.site key"
"GUERRERO","ZIHUATANEJO","ACAPULCO",NA,NA,NA,NA,NA
"OAXACA","PINOTEPA NACIONAL","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"SINALOA","EL FUERTE","SITIO EMB DESEM GENERICO",NA,26.4366394191784,-108.393947350964,"state_office","Hem's state.office key"
"SINALOA","LOS MOCHIS","SITIO EMB DESEM GENERICO",NA,25.9061091802143,-109.000942361955,"state_office","Hem's state.office key"
"SONORA","GOLFO SANTA CLARA","SITIO EMB DESEM GENERICO",NA,31.8979505373166,-114.571539538994,"state_office","Hem's state.office key"
"OAXACA","PUERTO ESCONDIDO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"OAXACA","PUERTO ANGEL","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"SINALOA","CULIACAN","SITIO EMB DESEM GENERICO",NA,24.5754023451913,-107.424419290528,"state_office","Interpolated: I meaned across landing_sites to estimate lat-long at the state-office level"
"NAYARIT","SAN BLAS","SITIO EMB DESEM GENERICO",NA,21.5467247384409,-105.258214734707,"state_office","Hem's state.office key"
"MICHOACAN","SAHUAYO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"MICHOACAN","EL RANCHITO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"NAYARIT","TECUALA","SITIO EMB DESEM GENERICO",NA,22.4984442146623,-105.266154629021,"state_office","Hem's state.office key"
"NAYARIT","CRUZ HUANACAXTLE","SITIO EMB DESEM GENERICO",NA,20.7914414513754,-105.337144843608,"state_office","Hem's state.office key"
"NAYARIT","TUXPAN","SITIO EMB DESEM GENERICO",NA,22.0870969265372,-105.117770520497,"state_office","Hem's state.office key"
"CHIAPAS","TONALA","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
"GUERRERO","ACAPULCO","SITIO EMB DESEM GENERICO",NA,NA,NA,NA,NA
