"main_species_group","n_Records_dataMares","n_Records_JCdata","state","Total_Biomass_kg_dataMares","Total_Landed_Biomass_JCdata","Total_Live_Biomass_JCdata","Total_Value_JCdata","Total_Value_mxn_dataMares","Count_discrepancy","Count_discrepancy.per","Biomass_discrepancy","Biomass_discrepancy.per","Value_discrepancy","Value_discrepancy.per"
"LISA",175,175,"SONORA",125581,125581,126398.7,1444384,1444384,0,0,0,0,0,0
"LOBINA",31,31,"SONORA",3716,3716,4129,107890,107890,0,0,0,0,0,0
"MARLIN",33,NA,"SONORA",16775,NA,NA,NA,223075,NA,NA,NA,NA,NA,NA
"MERO",245,42,"SONORA",111931,53550,58610.3,761280,3725061,-203,-483,-58381,-109,-2963781,-389
"MOJARRA",446,499,"SONORA",443978,688949,907809.1,20669095,12345479,53,11,244971,36,8323616,40
"OTRAS",8368,8433,"SONORA",87691787,87547505,89696389.32,480181861.95,479277377.45,65,1,-144282,0,904484.5,0
"PAMPANO",36,36,"SONORA",69201,69201,75786,298381,298381,0,0,0,0,0,0
"PARGO",880,882,"SONORA",443511,443511,468960.15,19371086.5,19408531.5,2,0,0,0,-37445,0
"PEPINO DE MAR",14,14,"SONORA",5505,5505,5505,73700,73700,0,0,0,0,0,0
"PEZ GALLO",1,NA,"SONORA",500,NA,NA,NA,10000,NA,NA,NA,NA,NA,NA
"PEZ VELA",6,NA,"SONORA",6080,NA,NA,NA,65800,NA,NA,NA,NA,NA,NA
"PIERNA",70,70,"SONORA",77702,77702,83841.5,700714,700714,0,0,0,0,0,0
"PULPO",296,296,"SONORA",233474,233474,243941.8,20342000,20342000,0,0,0,0,0,0
"RAYA Y SIMILARES",1066,1071,"SONORA",1218627,1232327,2012575.45,20531958.5,20244158.5,5,0,13700,1,287800,1
"ROBALO",45,45,"SONORA",9363,9363,9523,542170,542170,0,0,0,0,0,0
"RONCO",15,16,"SONORA",8945,9945,11659.5,316575,296575,1,6,1000,10,20000,6
"RUBIA Y VILLAJAIBA",6,6,"SONORA",743,743,743,7858,7858,0,0,0,0,0,0
"SARDINA",3504,3284,"SONORA",411364994,392535353,455319377.48,823613733,867579662.11,-220,-7,-18829641,-5,-43965929.11,-5
"SIERRA",916,932,"SONORA",3035077,3063512,3080625.09,69375116.35,69146651.12,16,2,28435,1,228465.229999989,0
"TIBURON",899,903,"SONORA",1895141,1905641,2204305.5,26355545,26129795,4,0,10500,1,225750,1
"ATUN",NA,417,"BAJA CALIFORNIA",NA,8666104,9224426,800716833,NA,NA,NA,NA,NA,NA,NA
"BAQUETA",NA,295,"BAJA CALIFORNIA",NA,115590,119900.95,9732168,NA,NA,NA,NA,NA,NA,NA
"BONITO",NA,157,"BAJA CALIFORNIA",NA,146912,147191.45,2268794,NA,NA,NA,NA,NA,NA,NA
"LOBINA",NA,168,"BAJA CALIFORNIA",NA,1872301,1872301,396927812,NA,NA,NA,NA,NA,NA,NA
"MACARELA",NA,106,"BAJA CALIFORNIA",NA,784090,795770,1086748,NA,NA,NA,NA,NA,NA,NA
"OSTION",NA,1441,"BAJA CALIFORNIA",NA,2515548,2515548,68497434.55,NA,NA,NA,NA,NA,NA,NA
"PECES DE ORNATO",NA,47,"BAJA CALIFORNIA",NA,874,874,85217.36,NA,NA,NA,NA,NA,NA,NA
"SARGAZO",NA,372,"BAJA CALIFORNIA",NA,1360666,2716092.7,21955055.4,NA,NA,NA,NA,NA,NA,NA
"ATUN",NA,116,"BAJA CALIFORNIA SUR",NA,26546,27068,996821,NA,NA,NA,NA,NA,NA,NA
