Region,Stock,ScientificName,Major_Functional_Group,Landings_Datasource,StartYear,EndYear,int_yr,btype,force.cmsy,Flim,Fpa,Blim,Bpa,Bmsy,B40,FMSY,MSY,MSYBtrigger,M,Fofl,last_F,q.start,q.end,st_b.low,st_b.hi,int_b.low,int_b.hi,end_b.low,end_b.hi,r.low,r.hi,Resilience,Resilience_Source,Yes_Run,Comment
goc,megapitaria,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0.3,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,hexaplex,PENDING,PENDING,jc_data,2000,2024,2017,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.6,1,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,lobatus,PENDING,PENDING,jc_data,2000,2024,2017,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.6,1,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,megastraea,PENDING,PENDING,jc_data,2000,2024,2017,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.6,1,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,thunnus,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,katsuwonus,PENDING,PENDING,jc_data,2000,2024,2016,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.9,0.7,1,0.01,0.4,NA,NA,Medium,best_guess_Katsuwonus.pelamis,1,NA
goc,sarda,PENDING,PENDING,jc_data,2000,2024,2011,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,caranx,PENDING,PENDING,jc_data,2000,2024,2008,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,seriola,PENDING,PENDING,jc_data,2000,2024,2008,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.5,0.4,0.6,0.3,0.6,NA,NA,Medium,Ferrer et al_2022,1,NA
goc,scomber,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,my_best_guess,0,Incomplete model priors
goc,ablennes,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,coryphaena,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,istiophorus,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,xiphias,PENDING,PENDING,jc_data,2000,2024,2014,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Too broad of a category to classify,0,Incomplete model priors
goc,trachinotus,PENDING,PENDING,jc_data,2000,2024,2012,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,FishBase_Trachinotus paitensis,0,Incomplete model priors
goc,selene,PENDING,PENDING,jc_data,2000,2024,2007,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Medium,MAREA_priors,0,Incomplete model priors
goc,cetengraulis,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,etrumeus,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,oligoplites,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
goc,opisthonema,PENDING,PENDING,jc_data,2000,2024,2015,None,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,High,my_best_guess,0,Incomplete model priors
