"year","OHI_region_est","estimated_genus_name","annual_Catch_kg","n_landings_records","mean_Catch_2018.22_kg","n_years_Catch_2018.22","status_adjusted","control_adjusted","carta_provenance","n_species","n_species_original","carta_recommendation_source","catch_vs_reference_expectation","C_ref","Stock_Status_year.genus.region","Stock_Status_year.genus_mean","Stock_Status_final"
2023,"region_8","hoplopagrus",20961,79,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,0.899082104861409,0.74543618101504,0.899082104861409
2024,"region_8","hoplopagrus",28856.75,116,18845.66,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",18845.66,0.653076316633023,0.626918679312086,0.653076316633023
2018,"region_8","isurus",205363.35,178,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,1,0.985924961715161,1
2019,"region_8","isurus",502345.6,331,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,0.901889217303784,0.659407132237358,0.901889217303784
2020,"region_8","isurus",521777.15,316,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,0.868301879451793,0.951040544452629,0.868301879451793
2021,"region_8","isurus",589426.95,252,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,0.768645003422392,0.84574234032639,0.768645003422392
2022,"region_8","isurus",446387.35,306,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,1,0.982462974013997,1
2023,"region_8","isurus",719786,470,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,0.629437193832611,0.771372261286,0.629437193832611
2024,"region_8","isurus",747663.125,282,453060.08,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",453060.08,0.605968202591241,0.687786187124244,0.605968202591241
2018,"region_8","litopenaeus",602901.668,1115,964527.7296,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",964527.7296,1,0.919492910868832,1
2019,"region_8","litopenaeus",741779.28,930,964527.7296,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",964527.7296,1,0.900691621925178,1
2020,"region_8","litopenaeus",847762.5,978,964527.7296,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",964527.7296,1,0.900960988694235,1
2021,"region_8","litopenaeus",1253526,1039,964527.7296,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",964527.7296,0.769451714284347,0.727315020032971,0.769451714284347
2022,"region_8","litopenaeus",1376669.2,1090,964527.7296,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",964527.7296,0.700624180158894,0.891332179895865,0.700624180158894
2018,"region_8","lutjanus",2417988.62,5895,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,0.886511814352542,0.885107293882184,0.886511814352542
2019,"region_8","lutjanus",2654454.003,6654,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,0.807539130901264,0.934341222241882,0.807539130901264
2020,"region_8","lutjanus",2074010.22,4365,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,1,0.846377418897069,1
2021,"region_8","lutjanus",1918291.25,4565,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,1,0.909980107328502,1
2022,"region_8","lutjanus",1653133.3,4455,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,1,0.958189136766032,1
2023,"region_8","lutjanus",1933857,4606,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,1,0.892768085174636,1
2024,"region_8","lutjanus",2370483.2135,4857,2143575.4786,5,"maximally harvested","no increase","genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",8,8,"genus aggregation; mode across 8 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2143575.4786,0.904277856258272,0.916991841143624,0.904277856258272
2019,"region_8","megapitaria",4640,16,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,1,0.849161588271805,1
2020,"region_8","megapitaria",40858,51,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,1,0.963312896666461,1
2021,"region_8","megapitaria",134392,164,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,1,0.903634220213695,1
2022,"region_8","megapitaria",545576,289,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,0.332431228646421,0.686347401114479,0.332431228646421
2023,"region_8","megapitaria",330308,247,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,0.549082977100161,0.924847162850027,0.549082977100161
2024,"region_8","megapitaria",29481,19,181366.5,4,"maximally harvested","no increase","genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",2,2,"genus aggregation; mode across 2 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",181366.5,1,1,1
2018,"region_8","merluccius",7210,2,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2018 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,1,0.966250327585303,1
2019,"region_8","merluccius",68255,7,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2019 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,0.81288227968647,0.880385458707781,0.81288227968647
2020,"region_8","merluccius",176499.6,10,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2020 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,0.314353573605832,0.885725595600972,0.314353573605832
2021,"region_8","merluccius",2351.8,1,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2021 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,1,0.732232326752904,1
2022,"region_8","merluccius",23100,1,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2022 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,1,0.733008657945096,1
2023,"region_8","merluccius",42185,1,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2023 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,1,0.590703776979209,1
2024,"region_8","merluccius",775915,26,55483.28,5,"maximally harvested","no increase","genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region",0,0,"genus-wide gapfill; carta_status and carta_control for year 2024 assigned from mode across 5 original and 0 gapfilled species-level recommendations pooled across 5 OHI regions with original Carta data; same values applied to every missing region","penalized if catch exceeds 2018-2022 mean; not penalized below mean",55483.28,0.0715069047511648,0.332922459995741,0.0715069047511648
2018,"region_8","mugil",3031910.3,5189,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,0.759929964286872,0.638301610903036,0.759929964286872
2019,"region_8","mugil",3235176.83,5712,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,0.712183477772991,0.634893789409846,0.712183477772991
2020,"region_8","mugil",2067394,2889,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,1,0.75,1
2021,"region_8","mugil",1288051,2274,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,1,0.712776188843112,1
2022,"region_8","mugil",1897665.3,3047,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,1,0.659215857279574,1
2023,"region_8","mugil",277157,894,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,1,0.833333333333333,1
2024,"region_8","mugil",265404.5,671,2304039.486,5,"maximally harvested","no increase","genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",3,3,"genus aggregation; mode across 3 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",2304039.486,1,0.833333333333333,1
2018,"region_8","mustelus",200,1,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,1,0.902533524994014,1
2020,"region_8","mustelus",7042,2,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,0.516880857710878,0.89171943609393,0.516880857710878
2021,"region_8","mustelus",4392.5,12,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,0.828656801365965,0.878225401720334,0.828656801365965
2022,"region_8","mustelus",2925,4,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,1,0.677782914952192,1
2023,"region_8","mustelus",7408,7,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,0.4913438174946,0.656043636761049,0.4913438174946
2024,"region_8","mustelus",12000,6,3639.875,4,"maximally harvested","no increase","genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",4,4,"genus aggregation; mode across 4 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",3639.875,0.303322916666667,0.453380725286644,0.303322916666667
2021,"region_8","nasolamia",7000,1,7000,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",7000,NA,1,1
2024,"region_8","nasolamia",11000,1,7000,1,"maximally harvested","no increase","genus-wide gapfill; carta Stock_Status score derived from year x genus mean",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",7000,NA,1,1
2018,"region_8","negaprion",5766.25,11,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,1,1,1
2019,"region_8","negaprion",8250,29,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,1,1,1
2020,"region_8","negaprion",9028.75,20,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2020 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,1,1,1
2021,"region_8","negaprion",9493.75,18,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2021 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,1,1,1
2022,"region_8","negaprion",13273.2,15,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2022 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,0.690292469035349,0.690292469035349,0.690292469035349
2023,"region_8","negaprion",5920,5,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2023 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,1,1,1
2024,"region_8","negaprion",69906.6,36,9162.39,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)",1,1,"genus aggregation; mode across 1 original and 0 gapfilled species-level recommendations in this region for year 2024 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",9162.39,0.13106616542644,0.13106616542644,0.13106616542644
2018,"region_8","oligoplites",1045,6,124369.2,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2018 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",124369.2,1,0.778733498349835,1
2019,"region_8","oligoplites",6017,18,124369.2,5,"maximally harvested","no increase","genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)",2,1,"genus aggregation; mode across 1 original and 1 gapfilled species-level recommendations in this region for year 2019 (ties: most conservative status_adjusted and control_adjusted)","penalized if catch exceeds 2018-2022 mean; not penalized below mean",124369.2,1,0.931514936143585,1
