"Region","Landings_Datasource","StartYear","EndYear","Major_Functional_Group","estimated_taxa_group","Common_Name","Stock","estimated_family_name","Status_in_2000_Ref","Status_in_2000_ExpOp","Status_in_2000_disagreement","st_b.low_Ref","st_b.low_ExpOp","st_b.hi_Ref","st_b.hi_ExpOp","Status_in_2024_Ref","Status_in_2024_ExpOp","Status_in_2024_disagreement","end_b.low_Ref","end_b.low_ExpOp","end_b.hi_Ref","end_b.hi_ExpOp","st_b_source","end_b_source","st_b.low_new","st_b.hi_new","end_b.low_new","end_b.hi_new"
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","abulon","abalones","haliotis","haliotidae","depleted",NA,NA,0.1,NA,0.3,NA,"severely depleted",NA,NA,0.01,NA,0.1,NA,"Reference","Reference",0.1,0.3,0.01,0.1
"goc","conapesca",2005,2024,"molluscs excl. cephalopods","almeja","geoducks","panopea","hiatellidae","new / healthy","sustainable","Different",0.6,0.3,0.9,0.5,"new / healthy","depleted","Different",0.6,0.1,1,0.3,"Expert Opinion","Expert Opinion",0.3,0.5,0.1,0.3
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","caracol","murex snails","hexaplex","muricidae","UNKNOWN","depleted","Different",NA,0.1,NA,0.3,"depleted","depleted","Same",0.01,0.1,0.4,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","almeja","scallops","argopecten","pectinidae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","depleted","Same",0.01,0.1,0.3,0.3,"Expert Opinion","Expert Opinion",0.1,0.3,0.1,0.3
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","caracol","conchs","lobatus","strombidae","depleted","sustainable","Different",0.1,0.3,0.3,0.5,"depleted","severely depleted","Different",0.1,0.055,0.3,0.225,"Expert Opinion","Expert Opinion",0.3,0.5,0.055,0.225
"goc","conapesca",2010,2024,"molluscs excl. cephalopods","caracol","turban snails","turbo","turbinidae","UNKNOWN","sustainable","Different",NA,0.3,NA,0.5,"UNKNOWN","sustainable","Different",NA,0.3,NA,0.5,"Expert Opinion","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2012,2023,"molluscs excl. cephalopods","almeja","venus clams","chione","veneridae","depleted","sustainable","Different",0.1,0.3,0.3,0.5,"depleted","sustainable","Different",0.1,0.3,0.4,0.5,"Expert Opinion","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","almeja","venus clams","dosinia","veneridae","depleted","sustainable","Different",0.1,0.3,0.3,0.5,"depleted","sustainable","Different",0.1,0.3,0.4,0.5,"Expert Opinion","Expert Opinion",0.3,0.5,0.3,0.5
"goc","conapesca",2000,2024,"molluscs excl. cephalopods","almeja","chocolate clams","megapitaria","veneridae","depleted","depleted","Same",0.1,0.1,0.3,0.3,"depleted","severely depleted","Different",0.01,0.055,0.3,0.225,"Expert Opinion","Expert Opinion",0.1,0.3,0.055,0.225
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","otras","needlefish","ablennes","belonidae","new / healthy","healthy","Different",0.6,0.5,0.9,0.8,"depleted","healthy","Different",0.01,0.5,0.4,0.8,"Expert Opinion","Expert Opinion",0.5,0.8,0.5,0.8
"goc","conapesca",2000,2024,"pelagic marine fish (excl. anchovy & sardine)","bonito","jacks","caranx","carangidae","sustainable","healthy","Different",0.3,0.5,0.5,0.8,"sustainable","healthy","Different",0.3,0.5,0.6,0.8,"Expert Opinion","Expert Opinion",0.5,0.8,0.5,0.8
