"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","scientific_name_recorded_T.F","recorded_scientific_name","IHH_fishery","IHH_highest_taxonomic_id","IHH_highest_taxonomic_resolution","IHH_species","IHH_genus","IHH_family","IHH_order","IHH_class","IHH_functional_major_groups_sm","Hem_species_1","Hem_species_2","Hem_species_3","Hem_species_4","Hem_species_5","Hem_species_6","Hem_species_7","Hem_species_8","Hem_species_9","Hem_species_10","Hem_species_11","Hem_species_12","Hem_species_13","Hem_species_14","Hem_species_15","Hem_species_16","Hem_species_17","Hem_species_18","Hem_species_19","Hem_species_20","estimated_species_name","species_est_certainty","species_est_reasoning","estimated_genus_name","genus_est_reasoning","estimated_family_name","family_est_reasoning"
"OTRAS","PALETA","paleta",FALSE,NA,"Escama","Centropomus medius","Species","Centropomus medius","Centropomus","Centropomidae","Perciformes","Actinopterygii","Demersal marine fishes","Caulolatilus cyanops","Centropomus viridis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Centropomus medius","high confidence","logical match in both keys","Centropomus","genus derived from known species","Centropomidae","family derived from IHH key"
"LISA","LISA (MUGIL CEPHALUS)","lisa",TRUE,"Mugil Cephalus","Escama","Mugil cephalus ; Mugil curema ; Mugil hospes","Other - Group of Taxa","NEI","Mugil","Mugilidae","Mugiliformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mugil Cephalus","virtually certain","name was recorded in CONAPESCA","Mugil","genus derived from known species","Mugilidae","family derived from IHH key"
"MOJARRA","MOJARRON","mojarron",FALSE,NA,"Escama","Calamus brachysomus","Species","Calamus brachysomus","Calamus","Sparidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus caesius","Anisotremus interruptus","Anisotremus taeniatus","Haemulon flaviguttatum","Haemulon steindachneri","Haemulopsis axillaris","Haemulopsis leuciscus","Microlepidotus inornatus","Pomadasys bayanus","Pomadasys macracanthus","Pomadasys panamensis","Calamus brachysomus",NA,NA,NA,NA,NA,NA,NA,NA,"Calamus brachysomus","high confidence","logical match in both keys","Calamus","genus derived from known species","Sparidae","family derived from IHH key"
"PAMPANO","PALOMETA","palometa",FALSE,NA,"Escama","Trachinotus africanus","Species","Trachinotus africanus","Trachinotus","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Diapterus aureolus","Eugerres líneatus","Caranx caballus","Carangoides otrynter","Gnathanodon speciosus","Hemicaranx zelotes","Oligoplites altus","Oligoplites refulgens","Selene brevoortii","Selene peruviana","Trachinotus kennedyi","Trachinotus paitensis","Trachinotus rhodopus","Peprilus medius","Peprilus simillimus","Peprilus snyderi","Peprilus ovatus",NA,NA,NA,"Trachinotus africanus","low confidence","mismatch between keys","Trachinotus","genus derived from known species","Carangidae","family derived from IHH key"
"BERRUGATA","BOCADULCE","bocadulce",FALSE,NA,"Escama","Menticirrhus nasus","Species","Menticirrhus nasus","Menticirrhus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Menticirrhus elongatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Menticirrhus nasus","high confidence","logical match in both keys","Menticirrhus","genus derived from known species","Sciaenidae","family derived from IHH key"
"JUREL","JUREL (SERIOLA LALANDI)","jurel",TRUE,"Seriola Lalandi","Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seriola Lalandi","virtually certain","name was recorded in CONAPESCA","Seriola","genus derived from known species","Carangidae","family derived from IHH key"
"CALAMAR","CALAMAR","calamar",FALSE,NA,"Calamar","Dosidicus gigas","Species","Dosidicus gigas","Dosidicus","Ommastrephidae","Oegopsida","Cephalopoda","Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Dosidicus gigas","high confidence","match to IHH key","Dosidicus","genus derived from known species","Ommastrephidae","family derived from IHH key"
"OTRAS","OTRAS ESPECIES","otras especies",FALSE,NA,"No ID","Marine species NEI","Other - Functional Group","NEI","NEI","NEI","NEI","NEI","Marine species NEI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"OTRAS","PICUDA","picuda",FALSE,NA,"No ID","Sphyraena spp","Genus","NEI","Sphyraena","Sphyraenidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Sphyraenidae","family derived from IHH key"
"JUREL","JUREL","jurel",FALSE,NA,"Escama","Carangidae","Family","NEI","NEI","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Carangidae","family derived from IHH key"
"CABRILLA","VERDILLO","verdillo",FALSE,NA,"Escama","Paralabrax nebulifer","Species","Paralabrax nebulifer","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Paralabrax clathratus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralabrax nebulifer","low confidence","mismatch between keys","Paralabrax","genus derived from known species","Serranidae","family derived from IHH key"
"OTRAS","LAPON","lapon",FALSE,NA,"Escama","Scorpaena mystes","Species","Scorpaena mystes","Scorpaena","Scorpaenidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Pontinus sierra","Pontinus furcirhinus","Pontinus vaughani","Scorpaena histrio","Scorpaena russula","Scorpaena sonorae","Scorpaenodes xyris","Chirostoma estor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scorpaena mystes","low confidence","mismatch between keys","Scorpaena","genus derived from known species","Scorpaenidae","family derived from IHH key"
"OTRAS","VIEJA","vieja",FALSE,NA,"Escama","Labridae","Family","NEI","NEI","Labridae","Perciformes","Actinopterygii","Demersal marine fishes","Bodianus diplotaenia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Labridae","family derived from IHH key"
"OTRAS","PESCADO BLANCO","pescado blanco",FALSE,NA,"No ID","Actinopterygii","Class","NEI","NEI","NEI","NEI","Actinopterygii","Marine fishes NEI","Chirostoma estor",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","NEI","family derived from IHH key"
"ERIZO","ERIZO","erizo",FALSE,NA,"Erizo","Strongylocentrotus spp","Genus","NEI","Strongylocentrotus","Strongylocentrotidae","Camarodonta","Echinoidea","Miscellaneous aquatic animals",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Strongylocentrotidae","family derived from IHH key"
"OTRAS","ROCOTE","rocote",FALSE,NA,"Escama","Sebastes spp","Genus","NEI","Sebastes","Sebastidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Sebastidae","family derived from IHH key"
"OTRAS","CHOPA","chopa",FALSE,NA,"Escama","Kyphosidae","Family","NEI","NEI","Kyphosidae","Perciformes","Actinopterygii","Demersal marine fishes","Girella nigricans","Hermosilla azurea","Kyphosus analogus","Kyphosus elegans","Sectator ocyurus","Sectator azureus","Medialuna californiensis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","low confidence","mismatch between keys","NEI","genus derived from known species","Kyphosidae","family derived from IHH key"
"CAMARON","CAMARON PACOTILLA","camaron pacotilla",FALSE,NA,"Camaron","Penaeus spp","Genus","NEI","Penaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Penaeidae","family derived from IHH key"
"CAMARON","CAMARON","camaron",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"CAMARON","CAMARON BOTALON","camaron botalon",FALSE,NA,"Camaron","Rimapenaeus pacificus","Species","Rimapenaeus pacificus","Rimapenaeus","Penaeidae","Decapoda","Malacostraca","Shrimps, prawns","Xiphopeneus riveti",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Rimapenaeus pacificus","low confidence","mismatch between keys","Rimapenaeus","genus derived from known species","Penaeidae","family derived from IHH key"
"MOJARRA","MOJARRA BLANCA","mojarra blanca",FALSE,NA,"Escama","Eucinostomus argenteus","Species","Eucinostomus argenteus","Eucinostomus","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes","Gerres cinereus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Eucinostomus argenteus","low confidence","mismatch between keys","Eucinostomus","genus derived from known species","Gerreidae","family derived from IHH key"
"CAMARON","CAMARON JAPONES","camaron japones",FALSE,NA,"Camaron","Sicyonia dorsalis","Species","Sicyonia dorsalis","Sicyonia","Sicyoniidae","Decapoda","Malacostraca","Shrimps, prawns","Sicyonia penicillata","Sicyonia picta","Sicyonia disedwardsi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sicyonia dorsalis","high confidence","logical match in both keys","Sicyonia","genus derived from known species","Sicyoniidae","family derived from IHH key"
"CAMARON","CAMARON ROSADO","camaron rosado",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Metapenaeopsis mineri","Metapenaeopsis beebei","Farfantepenaeus notialis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","medium confidence","conflicting matches in Hem's key and no data from IHH",NA,"genus unknown",NA,"family unknown"
"SARDINA","SARDINA BOCONA","sardina bocona",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anchovia macrolepidota","Cetengraulis mysticetus","Anchovia rastralis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Cetengraulis mysticetus","medium confidence","match to Erica's key","Cetengraulis","genus derived from known species","family missing but genus available","family unknown but genus available"
"MOJARRA","MOJARRITA","mojarrita",FALSE,NA,"Escama","Gerreidae","Family","NEI","NEI","Gerreidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Gerreidae","family derived from IHH key"
"ATUN","ATUN ALETA AMARILLA (THUNNUS ALBACARES)","atun aleta amarilla",TRUE,"Thunnus Albacares","Tunidos","Thunnus albacares","Species","Thunnus albacares","Thunnus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Thunnus albacares",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thunnus Albacares","virtually certain","name was recorded in CONAPESCA","Thunnus","genus derived from known species","Scombridae","family derived from IHH key"
"BARRILETE","BARRILETE (KATSUWONUS PELAMIS)","barrilete",TRUE,"Katsuwonus Pelamis","Escama","Katsuwonus pelamis","Species","Katsuwonus pelamis","Katsuwonus","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Auxis rochei","Euthynnus affinis","Euthynnus lineatus","Katsuwonus pelamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Katsuwonus Pelamis","virtually certain","name was recorded in CONAPESCA","Katsuwonus","genus derived from known species","Scombridae","family derived from IHH key"
"OTRAS","EXTRANJERO","extranjero",FALSE,NA,"Escama","Paralabrax auroguttatus","Species","Paralabrax auroguttatus","Paralabrax","Serranidae","Perciformes","Actinopterygii","Demersal marine fishes","Diplectrum euryplectrum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Paralabrax auroguttatus","low confidence","mismatch between keys","Paralabrax","genus derived from known species","Serranidae","family derived from IHH key"
"PIERNA","PIERNA","pierna",FALSE,NA,"Escama","Caulolatilus princeps","Species","Caulolatilus princeps","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Caulolatilus princeps",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caulolatilus princeps","high confidence","logical match in both keys","Caulolatilus","genus derived from known species","Malacanthidae","family derived from IHH key"
"OTRAS","BURRITO","burrito",FALSE,NA,"Escama","Orthopristis cantharinus","Species","Orthopristis cantharinus","Orthopristis","Haemulidae","Perciformes","Actinopterygii","Demersal marine fishes","Anisotremus dovii",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Orthopristis cantharinus","low confidence","mismatch between keys","Orthopristis","genus derived from known species","Haemulidae","family derived from IHH key"
"OTRAS","CANGREJO","cangrejo",FALSE,NA,"Otras","Decapoda","Order","NEI","NEI","NEI","Decapoda","Malacostraca","Shrimps, prawns",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","NEI","family derived from IHH key"
"GUACHINANGO","GUACHINANGO (LUTJANUS SPP)","guachinango",TRUE,"Lutjanus Spp","Escama","Lutjanus peru","Species","Lutjanus peru","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus Spp","virtually certain","name was recorded in CONAPESCA","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"BERRUGATA","CHANO","chano",FALSE,NA,"Escama","Micropogonias megalops","Species","Micropogonias megalops","Micropogonias","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Chanos chanos","Macrobrachium michoacanus","Haemulon flaviguttatum","Menticirrhus elongatus","Menticirrhus nasus","Menticirrhus panamensis","Menticirrhus undulatus","Micropogonias altipinnis","Micropogonias ectenes","Micropogonias megalops","Umbrina xanti",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Micropogonias megalops","high confidence","logical match in both keys","Micropogonias","genus derived from known species","Sciaenidae","family derived from IHH key"
"OTRAS","CHIVATO","chivato",FALSE,NA,"Escama","Pseudupeneus grandisquamis","Species","Pseudupeneus grandisquamis","Pseudupeneus","Mullidae","Perciformes","Actinopterygii","Demersal marine fishes","Blennius cristatus","Mulloidichthys dentatus","Pseudupeneus grandisquamis","Lutjanus guttatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Pseudupeneus grandisquamis","high confidence","logical match in both keys","Pseudupeneus","genus derived from known species","Mullidae","family derived from IHH key"
"ESMEDREGAL","MEDREGAL","medregal",FALSE,NA,"Escama","Seriola carpenteri","Species","Seriola carpenteri","Seriola","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Selar crumenophthalmus","Selene peruviana","Seriola lalandi","Seriola peruana","Seriola rivoliana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Seriola carpenteri","low confidence","mismatch between keys","Seriola","genus derived from known species","Carangidae","family derived from IHH key"
"OTRAS","BACALAO","bacalao",FALSE,NA,"Escama","Anoplopoma fimbria","Species","Anoplopoma fimbria","Anoplopoma","Anoplopomatidae","Scorpaeniformes","Actinopterygii","Demersal marine fishes","Rachycentrum canadum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Anoplopoma fimbria","low confidence","mismatch between keys","Anoplopoma","genus derived from known species","Anoplopomatidae","family derived from IHH key"
"RONCO","RATON","raton",FALSE,NA,"Escama","Menticirrhus panamensis","Species","Menticirrhus panamensis","Menticirrhus","Sciaenidae","Perciformes","Actinopterygii","Demersal marine fishes","Mulloidichthys dentatus","Pseudupeneus grandisquamis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Menticirrhus panamensis","low confidence","mismatch between keys","Menticirrhus","genus derived from known species","Sciaenidae","family derived from IHH key"
"LANGOSTA","LANGOSTA ROJA","langosta roja",FALSE,NA,"Langosta","Panulirus interruptus","Species","Panulirus interruptus","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans","Jasus edwardsii","Panulirus interruptus","Panulirus penicillatus","Panulirus inflatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panulirus interruptus","high confidence","logical match in both keys","Panulirus","genus derived from known species","Palinuridae","family derived from IHH key"
"FAUNA","FAUNA ACOMPAÑAMIENTO","fauna acompañamiento",FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"unknown","not applicable","no data in keys",NA,"genus unknown",NA,"family unknown"
"OTRAS","PERICO","perico",FALSE,NA,"No ID","Coryphaena hippurus","Species","Coryphaena hippurus","Coryphaena","Coryphaenidae","Perciformes","Actinopterygii","Pelagic marine fishes","Scarus perrico","Scarus rubroviolaceus","Scarus ghobban","Scarus compressus ","Nicholsina denticulata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Coryphaena hippurus","low confidence","mismatch between keys","Coryphaena","genus derived from known species","Coryphaenidae","family derived from IHH key"
"ABULON","ABULON","abulon",FALSE,NA,"Abulon","Haliotis spp","Genus","NEI","Haliotis","Haliotidae","Lepetellida","Gastropoda","Molluscs excl. Cephalopods",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NEI","high confidence","match to IHH key","NEI","genus derived from known species","Haliotidae","family derived from IHH key"
"CARACOL","CARACOL PANOCHA","caracol panocha",FALSE,NA,"Caracol","Megastraea undosa","Species","Megastraea undosa","Megastraea","Turbinidae","Patellogastropoda","Gastropoda","Molluscs excl. Cephalopods","Megastraea turbanica","Megastraea undosa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megastraea undosa","high confidence","logical match in both keys","Megastraea","genus derived from known species","Turbinidae","family derived from IHH key"
"LANGOSTA","LANGOSTA CARIBE","langosta caribe",FALSE,NA,"Langosta","Panulirus inflatus","Species","Panulirus inflatus","Panulirus","Palinuridae","Decapoda","Malacostraca","Crustaceans","Panulirus gracilis","Panulirus inflatus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Panulirus inflatus","high confidence","logical match in both keys","Panulirus","genus derived from known species","Palinuridae","family derived from IHH key"
"TIBURON","TINTORERA","tintorera",FALSE,NA,"Tiburon","Galeocerdo cuvier","Species","Galeocerdo cuvier","Galeocerdo","Carcharhinidae","Carcharhiniformes","Elasmobranchii","Demersal marine fishes","Triakis semifasciata",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Galeocerdo cuvier","low confidence","mismatch between keys","Galeocerdo","genus derived from known species","Carcharhinidae","family derived from IHH key"
"OTRAS","PEZ PERRO","pez perro",FALSE,NA,"Escama","Lutjanus novemfasciatus","Species","Lutjanus novemfasciatus","Lutjanus","Lutjanidae","Perciformes","Actinopterygii","Demersal marine fishes","Lachnolaimus maximus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lutjanus novemfasciatus","low confidence","mismatch between keys","Lutjanus","genus derived from known species","Lutjanidae","family derived from IHH key"
"ALMEJA","ALMEJA CHOCOLATA","almeja chocolata",FALSE,NA,"Almeja","Megapitaria squalida","Species","Megapitaria squalida","Megapitaria","Veneridae","Venerida","Bivalvia","Molluscs excl. Cephalopods","Megapitaria squalida",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Megapitaria squalida","high confidence","logical match in both keys","Megapitaria","genus derived from known species","Veneridae","family derived from IHH key"
"BONITO","BONITO (SARDA CHILIENSIS)","bonito",TRUE,"Sarda Chiliensis","Escama","Caranx caballus","Species","Caranx caballus","Caranx","Carangidae","Perciformes","Actinopterygii","Pelagic marine fishes","Diplectrum eumelum","Euthynnus lineatus","Katsuwonus pelamis","Sarda chiliensis","Sarda orientalis ","Thunnus alalunga","Chloroscombrus orqueta","Auxis rochei","Auxis thazard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Sarda Chiliensis","virtually certain","name was recorded in CONAPESCA","Sarda","genus derived from known species","Carangidae","family derived from IHH key"
"MACARELA","MACARELA","macarela",FALSE,NA,"Pelagicos Menores","Scomber japonicus","Species","Scomber japonicus","Scomber","Scombridae","Perciformes","Actinopterygii","Pelagic marine fishes","Auxis thazard","Decapterus macarellus","Decapterus macrosoma","Decapterus muroadsi","Elagatis bipinnulata","Scomber japonicus","Scomberomorus concolor","Scomberomorus sierra",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Scomber japonicus","high confidence","logical match in both keys","Scomber","genus derived from known species","Scombridae","family derived from IHH key"
"PIERNA","BLANQUILLO","blanquillo",FALSE,NA,"Escama","Caulolatilus affinis","Species","Caulolatilus affinis","Caulolatilus","Malacanthidae","Perciformes","Actinopterygii","Demersal marine fishes","Pomadasys bayanus","Pomadasys panamensis","Caulolatilus hubbsi","Caulolatilus princeps","Caulolatilus affinis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Caulolatilus affinis","high confidence","logical match in both keys","Caulolatilus","genus derived from known species","Malacanthidae","family derived from IHH key"
