"year","estimated_genus_name","Major_Functional_Group","total_biomass_kg","total_revenue"
2004,"Caranx","Pelagic marine fish (excl. anchovy & sardine)",68944.9,5335840
2004,"Carcharhinus","Sharks",187113,1078193
2004,"Caulolatilus","Demersal marine fishes",816501.6,4797677
2004,"Centropomus","Demersal marine fishes",535170.71,12905193
2004,"Cetengraulis","Anchovy & Sardine (small pelagics)",82607206.44,25441900
2004,"Chanos","Diadromous fishes",13468.1,82833
2004,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)",114291.45,1453669
2004,"Cynoscion","Demersal marine fishes",1951411,26402597
2004,"Diapterus","Demersal marine fishes",32545,274334
2004,"Diplectrum","Demersal marine fishes",63681.9,1236603
2004,"Dosidicus","Cephalopods",55356458,62580070
2004,"Dosinia","Molluscs excl. Cephalopods",701610,3000466
2004,"Epinephelus","Demersal marine fishes",79369.2,1241540
2004,"Especies","Echinoderms",383257,3754942
2004,"Etrumeus","Anchovy & Sardine (small pelagics)",8145357.6,6996021
2004,"Eucinostomus","Demersal marine fishes",95370,697495
2004,"Eugerres","Demersal marine fishes",52312,532407
2004,"Euthynnus","Pelagic marine fish (excl. anchovy & sardine)",40020,40
2004,"Farfantepenaeus","Shrimps, prawns",32997.2,1522840
2004,"Galeocerdo","Sharks",25509.5,117542
2004,"Gelidium","Marine algae",5080130,4939912
2004,"Gerres","Demersal marine fishes",109572.6,437093
2004,"Ginglymostoma","Sharks",3576.4,12036
2004,"Haemulon","Demersal marine fishes",367354.2,2144246
2004,"Haemulopsis","Demersal marine fishes",270835.6,1143942
2004,"Haliotis","Molluscs excl. Cephalopods",717330.22,62806598
2004,"Hoplopagrus","Demersal marine fishes",94865.6,2018105
2004,"Hypanus","Demersal marine fishes",1532273.6,9693972
2004,"Hyporthodus","Demersal marine fishes",374128.4,9060093
2004,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)",32399.6,214508
2004,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)",13801596.6,81414179
2004,"Lamna","Demersal marine fishes",533.5,1940
2004,"Lamna","Sharks",3714.5,59900
