"state","landing_site","est_habitat","lat_final","lon_final","FLAGS","HemKey_lat","HemKey_lon","MelKey_lat","MelKey_lon","OHI_region_draft","site_notes_Mel"
"SINALOA","CORTINA DE LA PRESA SANALONA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","PRESA JOSE LOPEZ PORTILLO (COMEDERO)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","SITIO EL EBANITO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SINALOA","CERRO CABEZON",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","BUCERIAS",NA,20.7546098611111,-105.336725416667,"high confidence",20.7546098611111,-105.336725416667,NA,NA,NA,NA
"NAYARIT","CRUZ DE HUANACAXTLE, LA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","EMBARCADERO DE LLANO DEL TIGRE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","ISLA DE MEXCALTITAN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NAYARIT","LAGUNA EL TULE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"JALISCO","PRESA LA COLORADA","freshwater",20.7755,-104.1324,NA,NA,NA,20.7755,-104.1324,"Nayarit/Jalisco","Near Ameca/Teuchitlán region; dam is mapped on regional hydrology."
"JALISCO","MEZCALA","freshwater",20.3675,-103.088472222222,"alert 1: multiple lat-long values in Hem's key that are more than 0.5 degree apart",20.3675,-103.088472222222,20.9016,-102.7987,"Nayarit/Jalisco","Town of Mezcala, municipality of Poncitlán, north shore Lake Chapala (fishing)."
"NAYARIT","PLAYA BAHIA DE SAYULITA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BAJA CALIFORNIA SUR","LA RIBERA",NA,23.5965630555556,-109.586066944444,"high confidence",23.5965630555556,-109.586066944444,23.593,-109.584,"Baja_California_Sur_South",NA
"BAJA CALIFORNIA","EL CHINERO 4TO. ESTERO (EN ZONA ESTEROS)",NA,31.4813,-115.0566,NA,NA,NA,31.4813,-115.0566,"Baja_California_North",NA
