stockid,year,ram_bmsy,assessid,stocklong,assessyear,scientificname,commonname,areaname,managementauthority,assessorfull,region,FisheryType,taxGroup,primary_FAOarea,primary_country
SFMAKONPAC,2016,1.36,SPC-SFMAKONPAC-1975-2016-SMITH,Shortfin mako North Pacific,1975-2016,Isurus oxyrinchus,Shortfin mako,North Pacific,Western and Central Pacific Fisheries Commission,Secretariat of the Pacific Community,Pacific Ocean,Sharks Rays and Skates,elasmobranchs,77,Japan
STMARLINNEPAC,2001,1.06,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2002,0.964,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2003,0.777,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2004,0.832,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2005,0.961,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2006,1.06,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2007,1.25,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2008,1.27,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINNEPAC,2009,1.52,IATTC-STMARLINNEPAC-1954-2009-BRANCH,Striped marlin Northeast Pacific,1954-2009,Kajikia audax,Striped marlin,Northeast Pacific,Inter-American Tropical Tuna Commission,Inter-American Tropical Tuna Commission,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2001,0.33,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2002,0.4,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2003,0.49,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2004,0.64,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2005,0.74,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2006,0.73,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2007,0.67,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2008,0.6,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2009,0.41,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2010,0.35,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2011,0.2373272,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2012,0.3106759,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2013,0.2853303,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2014,0.3317972,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
STMARLINWCNPAC,2015,0.4120584,ISC-STMARLINWCNPAC-1950-2018-PONS,Striped marlin Western and Central North Pacific,1950-2018,Kajikia audax,Striped marlin,Western and Central North Pacific,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,International Scientific Committee for Tuna and Tuna-like Species in the North Pacific Ocean,Pacific Ocean,Tuna and Marlin,tuna-billfish,77,Japan
