landing_site,clave,subregion,long,lat,State,hand_added,notes
PUERTO NUEVO,NA,2,-111.96,24.74,Baja California Sur,yes,
PUERTO SAN ANDRESITO,162,2.0162,-112.1537,25.8992,Baja California Sur,,
PUERTO SAN CARLOS (B.C.S.),NA,2,-112.11,24.79,Baja California Sur,yes,
PUERTO VIEJO (EN B.C.N.),NA,2,,,Baja California Sur,yes,probably in Baja California
PUERTO VIEJO SAN CARLOS,286,2.0286,-111.6207,24.4933,Baja California Sur,,
PULGUERO ENSENADA EL,95,3.0095,-110.2498,24.3494,Baja California Sur,,
PULPITO PUNTA,207,3.0207,-111.47,26.446,Baja California Sur,,
PUNTA ALTA,NA,2,-112.3,25.63,Baja California Sur,yes,
PUNTA ARENA,NA,3,-109.41,23.39,Baja California Sur,yes,
PUNTA ARENA ( EN LOS CABOS),NA,3,-109.41,23.39,Baja California Sur,yes,
PUNTA BELCHER (O PUNTA ARENAS),NA,2,-112.12,24.62,Baja California Sur,yes,
PUNTA CONEJO (EN ESTERO RANCHO BUENO),NA,2,-111.19,24.1,Baja California Sur,yes,
PUNTA CONO,NA,2.0075,-114.6,27.45,Baja California Sur,yes,
PUNTA CONO (VARADERO),NA,2,-114.6,27.45,Baja California Sur,yes,
PUNTA COYOTE II (CERCA DE PUERTO MEJIA),NA,2,-112.02,24.6,Baja California Sur,yes,
PUNTA FARO,105,2.0105,-113.5237,26.7572,Baja California Sur,,
PUNTA GALLITO (EN SANTA ROSALIA),NA,3,-112.25,27.35,Baja California Sur,yes,
