state,fishing_site_name,fishing_site_clean
SONORA,PUNTA CALAVERA,Punta Calavera
BAJA CALIFORNIA SUR,EL PULPITO,El Pulpito
SINALOA,FRENTE A TRES ISLAS,Frente A Tres Islas
BAJA CALIFORNIA,EL SANJON,El Sanjon
BAJA CALIFORNIA SUR,SAN JOSE DEL CABO,San Jose Del Cabo
SINALOA,EL COLORADO,El Colorado
SINALOA,AGUAS DE JURISDICCION FEDERAL DEL ESTADO DE SINALOA,Aguas De Jurisdiccion Federal Del Estado De Sinaloa
BAJA CALIFORNIA SUR,PUNTA BENTONITA,Punta Bentonita
BAJA CALIFORNIA SUR,PUERTO CHALE,Puerto Chale
BAJA CALIFORNIA,ZONA COLORADITO,Zona Coloradito
SINALOA,BOCA DE RIO,Boca De Rio
SINALOA,BAHIA DE SANTA MARIA,Bahia De Santa Maria
BAJA CALIFORNIA SUR,LAS ANIMAS,Las Animas
BAJA CALIFORNIA SUR,EL MECHUDO,El Mechudo
SINALOA,DAUTILLOS (CULT),Dautillos (Cult)
SINALOA,BAHIA DE ALTATA,Bahia De Altata
SINALOA,EL CASTILLO,El Castillo
SINALOA,ESTERO LA BOCANITA,Estero La Bocanita
BAJA CALIFORNIA,ISLA ENCANTADA (CENTRO),Isla Encantada (Centro)
BAJA CALIFORNIA,SANTA MARIA,Santa Maria
BAJA CALIFORNIA,ISLA DE CEDROS,Isla De Cedros
BAJA CALIFORNIA,LITORALES DE LA ISLA,Litorales De La Isla
BAJA CALIFORNIA SUR,CANAL SAN CARLOS,Canal San Carlos
BAJA CALIFORNIA,BAJO SOLEDAD,Bajo Soledad
SONORA,JAGUEY,Jaguey
BAJA CALIFORNIA,SAN RAFAEL,San Rafael
BAJA CALIFORNIA,CANDELEROS,Candeleros
BAJA CALIFORNIA SUR,PUERTO ESCONDIDO (EN BAHIA TORTUGAS),Puerto Escondido (En Bahia Tortugas)
BAJA CALIFORNIA SUR,BOCA LA SOLEDAD,Boca La Soledad
BAJA CALIFORNIA,PUNTA MARRON O PUNTA NEGRA (VARADERO),Punta Marron O Punta Negra (Varadero)
SINALOA,EL TORTUGO,El Tortugo
BAJA CALIFORNIA,BAHIA SAN SEBASTIAN,Bahia San Sebastian
BAJA CALIFORNIA,PUNTA CONO (VARADERO),Punta Cono (Varadero)
BAJA CALIFORNIA,BAJO SAN CARLOS,Bajo San Carlos
SONORA,ZONA DE AMORTIGUAMIENTO (GOLFO SANTA CLARA),Zona De Amortiguamiento (Golfo Santa Clara)
BAJA CALIFORNIA SUR,EL SARGENTO,El Sargento
BAJA CALIFORNIA SUR,BUENA VISTA (CAMPO PESQUERO OCEANO PACIFICO),Buena Vista (Campo Pesquero Oceano Pacifico)
BAJA CALIFORNIA,AGUA BLANCA,Agua Blanca
BAJA CALIFORNIA SUR,SAN JUAN DE LA COSTA,San Juan De La Costa
BAJA CALIFORNIA,BAJOS SAN CARLOS,Bajos San Carlos
BAJA CALIFORNIA,PUNTA BAJA,Punta Baja
BAJA CALIFORNIA,ISLA SAN ESTEBAN,Isla San Esteban
JALISCO,PRESA RAMON CORONA,Presa Ramon Corona
SONORA,EL CARDONAL,El Cardonal
BAJA CALIFORNIA SUR,PUNTA GORDA,Punta Gorda
BAJA CALIFORNIA SUR,BAHIA MAGDALENA,Bahia Magdalena
SINALOA,LA BRECHA,La Brecha
BAJA CALIFORNIA SUR,PUNTA AGUJA,Punta Aguja
BAJA CALIFORNIA SUR,EL JUNCALITO (BCS),El Juncalito (Bcs)
SINALOA,EL HUITUSSI,El Huitussi
BAJA CALIFORNIA,BAJOS EL RIF,Bajos El Rif
BAJA CALIFORNIA SUR,AGUAS LITORALES (SAN SAN CARLOS),Aguas Litorales (San San Carlos)
BAJA CALIFORNIA SUR,ENSENADA BLANCA,Ensenada Blanca
BAJA CALIFORNIA,PUERTO SAN CARLOS,Puerto San Carlos
SONORA,BAHIA DE GUASIMAS,Bahia De Guasimas
BAJA CALIFORNIA,PUNTA SAN ANTONIO,Punta San Antonio
SONORA,ENSENADA CHICA,Ensenada Chica
SONORA,GUAYMAS,Guaymas
BAJA CALIFORNIA,LA BOCANA,La Bocana
BAJA CALIFORNIA,EL GALLO,El Gallo
BAJA CALIFORNIA SUR,Lobera-Cahuamas,Lobera-Cahuamas
BAJA CALIFORNIA,ISLA LAS ANIMAS,Isla Las Animas
SONORA,EL SAHUIMARO,El Sahuimaro
BAJA CALIFORNIA SUR,BOCANA DE SAN VENANCIO,Bocana De San Venancio
SONORA,EL CHOYUDO,El Choyudo
BAJA CALIFORNIA SUR,PUNTA SANTA INES,Punta Santa Ines
BAJA CALIFORNIA SUR,EL SALADITO,El Saladito
BAJA CALIFORNIA SUR,SAN NICOLAS,San Nicolas
BAJA CALIFORNIA SUR,LA PULGA (ISLA MAGDALENA),La Pulga (Isla Magdalena)
BAJA CALIFORNIA SUR,LA LOBERA (ISLA MAGDALENA),La Lobera (Isla Magdalena)
SINALOA,BOCA DEL RIO NUEVO,Boca Del Rio Nuevo
BAJA CALIFORNIA,PRIMO TAPIA,Primo Tapia
SONORA,SAHUIMARO,Sahuimaro
SONORA,CHOLLA,Cholla
BAJA CALIFORNIA SUR,ESTERO SAN BUTO,Estero San Buto
BAJA CALIFORNIA,PUNTA CHINA,Punta China
SINALOA,LAGUNA AGUA GRANDE,Laguna Agua Grande
SINALOA,AGUA GRANDE,Agua Grande
BAJA CALIFORNIA SUR,PIEDRA DE FUERA,Piedra De Fuera
SONORA,EL COLORADO,El Colorado
SONORA,LOS ALGODONES,Los Algodones
BAJA CALIFORNIA,BUFADORA,Bufadora
SONORA,BANCO TRES,Banco Tres
SINALOA,PRESA LAS HIGUERAS,Presa Las Higueras
BAJA CALIFORNIA SUR,LA LLANADA,La Llanada
BAJA CALIFORNIA,PUNTA MORRO,Punta Morro
SONORA,GOLFO DE SANTA CLARA,Golfo De Santa Clara
BAJA CALIFORNIA SUR,ISLA DANZANTE,Isla Danzante
BAJA CALIFORNIA SUR,EL CANAL,El Canal
BAJA CALIFORNIA SUR,PUNTA PRIETA II (EN SANTA ROSALIA),Punta Prieta Ii (En Santa Rosalia)
BAJA CALIFORNIA SUR,LA LEONA,La Leona
BAJA CALIFORNIA SUR,CAHUAMAS-COSTILLA,Cahuamas-Costilla
BAJA CALIFORNIA SUR,ISLA LA ASUNCION,Isla La Asuncion
BAJA CALIFORNIA SUR,PIEDRA DE ZUóIGA,Piedra De Zuã³Iga
BAJA CALIFORNIA,SAN MARTIN,San Martin
BAJA CALIFORNIA SUR,ISLA SAN DIEGUITO,Isla San Dieguito
BAJA CALIFORNIA,FRENTE A SAN JOSE,Frente A San Jose
BAJA CALIFORNIA SUR,PUNTA LOS LOBOS (EN BAHIA ASUNCION),Punta Los Lobos (En Bahia Asuncion)
SINALOA,ISLA DE LA PIEDRA,Isla De La Piedra
BAJA CALIFORNIA,ISLA SALSIPUEDES,Isla Salsipuedes
BAJA CALIFORNIA SUR,PUERTO NUEVO,Puerto Nuevo
BAJA CALIFORNIA SUR,LAGUNA VIGIA,Laguna Vigia
SONORA,BAHIA YAVAROS,Bahia Yavaros
SONORA,AGUAS MARINAS DEL GOLFO,Aguas Marinas Del Golfo
BAJA CALIFORNIA SUR,SAN HIPOLITO,San Hipolito
BAJA CALIFORNIA SUR,ISLA SAN DIEGO,Isla San Diego
BAJA CALIFORNIA SUR,PUNTA SAN ANDRESITO,Punta San Andresito
BAJA CALIFORNIA,COLONIA VICENTE GUERRERO,Colonia Vicente Guerrero
SINALOA,TRES ISLAS,Tres Islas
SINALOA,PIEDRAS BLANCAS,Piedras Blancas
BAJA CALIFORNIA SUR,BATEQUI,Batequi
BAJA CALIFORNIA,PUNTA CABRA,Punta Cabra
