state,landing_site_catch,landing_site_primary,lat,long,GulfCal
BAJA CALIFORNIA,ISLA SAN RAMON,ISLA SAN RAMON,30.7401,-116.0482,no
BAJA CALIFORNIA,LAS SALINAS,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,PUERTO CATARINA,CATARINA PUERTO,29.5145,-115.2534,no
BAJA CALIFORNIA,PUERTO ESCONDIDO (EN LORETO),PUERTO ESCONDIDO (EN LORETO),25.822,-111.307,yes
BAJA CALIFORNIA,LA MISION,ORO MISION PLAYA DE,30.4019,-115.9244,no
BAJA CALIFORNIA,EL MORRO,EL MORRO,32.277,-117.026,no
BAJA CALIFORNIA,VARDERO LAGUNITAS,VARDERO LAGUNITAS,NA,NA,NA
BAJA CALIFORNIA,LA BOCANA,BOCANA LA,31.5334,-116.6504,no
BAJA CALIFORNIA,EL MALECON,EL MALECON,NA,NA,NA
BAJA CALIFORNIA,ISLA SAN JERONIMO,SAN JERONIMO ISLA,29.85,-115.797,no
BAJA CALIFORNIA,ROSARITO,ROSARITO,32.3505,-117.0543,no
BAJA CALIFORNIA,BAHIA CONCEPCION B.C.SUR.,BAHIA CONCEPCION B.C.SUR.,26.757,-111.893,yes
BAJA CALIFORNIA,PEÑASCO,PEÑASCO,31.317,-113.535,yes
BAJA CALIFORNIA,SAN MARTIN DE LA LUZ,SAN MARTIN DE LA LUZ,NA,NA,NA
BAJA CALIFORNIA,PUNTA SAN ISIDRO,SAN ISIDRO PUNTA,31.2906,-116.4121,no
BAJA CALIFORNIA,PUERTO ENSENADA,PUERTO ENSENADA,31.8508,-116.6007,no
BAJA CALIFORNIA,SAN ANTONIO,SAN ANTONIO,30.46,-115.9482,no
BAJA CALIFORNIA,PLAYA EL FARO,FARO PLAYA EL,29.8408,-114.4102,yes
BAJA CALIFORNIA,LOS MORROS,LOS MORROS,29.3823,-114.979,no
BAJA CALIFORNIA,GOLFO DE SANTA CLARA,GOLFO DE SANTA CLARA,31.6876,-114.4975,yes
BAJA CALIFORNIA,EL PLAYON,PLAYÓN EL,30.4026,-115.9939,no
BAJA CALIFORNIA,PUERTO SAN CARLOS (B.C.S.),PUERTO SAN CARLOS (B.C.S.),24.7892,-112.1045,no
BAJA CALIFORNIA,BAHIA SOLEDAD,SOLEDAD BAHÍA,31.5811,-116.6596,no
BAJA CALIFORNIA,EL CAIMAN,EL CAIMAN,NA,NA,NA
BAJA CALIFORNIA,PUNTA ARENA ( EN LOS CABOS),PUNTA ARENA ( EN LOS CABOS),23.554,-109.4685,yes
BAJA CALIFORNIA,CAMPO CUCAPA,CAMPO CUCAPA,32.219,-115.093,yes
BAJA CALIFORNIA,ESCONDIDO,ESCONDIDO PUERTO,31.708,-116.7081,no
BAJA CALIFORNIA,EL RAYADO,RAYADO EL,29.949,-115.727,no
BAJA CALIFORNIA,PLAYA CAMPO RUBENS,PLAYA CAMPO RUBENS,31.976,-116.741,no
BAJA CALIFORNIA,EL SANJON,EL SANJON,NA,NA,NA
BAJA CALIFORNIA,ROSALITA,ROSALITA,28.372,-114.182,no
BAJA CALIFORNIA,CAMALU (VARADERO),CAMALU (VARADERO),30.79,-116.06,no
BAJA CALIFORNIA,BAHIA DE CALAMAJUE,CALAMAJUE CAMPO,29.6904,-114.1555,yes
BAJA CALIFORNIA,PUERTO CUCHILLO,CUCHILLO PUERTO,29.2399,-114.8218,no
BAJA CALIFORNIA,EL CHORERO,CHORERA LA,30.4537,-116.0192,no
BAJA CALIFORNIA,ARROYO LAS MUJERES,ARROYO LAS MUJERES,NA,NA,NA
BAJA CALIFORNIA,LAGUNA MACUILE,LAGUNA MACUILE,28.192,-114.06,no
BAJA CALIFORNIA,PUNTA MARRON O PUNTA NEGRA (VARADERO),PUNTA MARRON O PUNTA NEGRA (VARADERO),31.287,-116.482,no
BAJA CALIFORNIA,PUNTA BAJA (EN SANTA ROSALIA),PUNTA BAJA (EN SANTA ROSALIA),29.954,-115.771,no
BAJA CALIFORNIA,PUNTA DEL DIABLO (VARADERO),PUNTA DEL DIABLO (VARADERO),31.279,-116.47,no
BAJA CALIFORNIA,ESTERO SALINAS,ESTERO SALINAS,31.836,-116.626,no
BAJA CALIFORNIA,ISLA LAS ANIMAS,ISLA LAS ANIMAS,28.7,-112.9329,yes
BAJA CALIFORNIA,CATARINA,CATARINA PUERTO,29.5145,-115.2534,no
BAJA CALIFORNIA,CAMPO ENMEDIO,CAMPO ENMEDIO,31.4482,-116.5471,no
BAJA CALIFORNIA,PUNTA CONO (VARADERO),PUNTA CONO (VARADERO),28.964,-114.58,no
BAJA CALIFORNIA,PUERTO DE CDA,PUERTO DE CDA,31.85,-116.633,no
BAJA CALIFORNIA,ISLA ESPIRITU SANTO,ISLA ESPIRITU SANTO,24.585,-110.39,yes
BAJA CALIFORNIA,MUELLE DEL MERCADO,MUELLE DEL MERCADO,31.8592,-116.6246,no
BAJA CALIFORNIA,REST. PORTUARIO,REST. PORTUARIO,31.85,-116.633,no
BAJA CALIFORNIA,BAJOS SAN CARLOS,BAJOS SAN CARLOS,24.78,-112.12,no
BAJA CALIFORNIA,BAHIA TODOS SANTOS,DE TODOS SANTOS BAHÍA,31.8031,-116.6838,no
BAJA CALIFORNIA,PUNTA DIABLO,PUNTA DIABLO,28.9067,-114.4608,no
BAJA CALIFORNIA,LAS ESCOLLERAS,LAS ESCOLLERAS,31.8583,-116.6333,no
BAJA CALIFORNIA,PUERTO DE EDA,PUERTO DE EDA,31.85,-116.633,no
BAJA CALIFORNIA,PLAYA ERENDIRA,ERÉNDIRA,31.2624,-116.381,no
BAJA CALIFORNIA,"RINCON, EL",RINCÓN EL,31.7286,-116.6998,no
BAJA CALIFORNIA,MARRON,MARRÓN PLAYA,28.8122,-114.3768,no
BAJA CALIFORNIA,TOPOLOBAMPO,TOPOLOBAMPO,25.602,-109.056,yes
BAJA CALIFORNIA,MOLINO VIEJO,VIEJO MOLINO,30.48,-115.98,no
BAJA CALIFORNIA,LAS PALOMAS,PALMAS LAS,30.9903,-114.8155,yes
BAJA CALIFORNIA,PUNTA SAN JASINTO,SAN JACINTO,30.9227,-116.2132,no
BAJA CALIFORNIA,SANTO DOMINGO (VARADERO),SANTO DOMINGO (VARADERO),28.257,-114.09,no
BAJA CALIFORNIA,PUNTA CABRA,CABRAS PUNTA,31.3264,-116.4541,no
BAJA CALIFORNIA,PUNTA CONO,CONO PUNTA,28.9643,-114.58,no
BAJA CALIFORNIA,SANTA ROSALIA,SANTA ROSALIA,27.34,-112.274,yes
BAJA CALIFORNIA,SAN ISIDRO Q.ROO,SAN ISIDRO PUNTA,31.2906,-116.4121,no
BAJA CALIFORNIA,ISLOTES TODOS SANTOS,TODOS SANTOS ISLOTES,31.7995,-116.7815,no
BAJA CALIFORNIA,PUERTO LOBOS,PUERTO LOBOS,28.875,-114.4341,no
BAJA CALIFORNIA,ROSALIITA,ROSALIITA,28.372,-114.182,no
BAJA CALIFORNIA,TIJUANA,TIJUANA,32.5334,-117.034,no
BAJA CALIFORNIA,PUERTO VIEJO (EN B.C.N.),PUERTO VIEJO (EN B.C.N.),NA,NA,NA
BAJA CALIFORNIA,RINCON DE PUNTA BANDA,EL RINCON DE PUNTA BANDA,31.7239,-116.6781,no
BAJA CALIFORNIA,PUNTA PIEDRA,PIEDRA CAMPO PUNTA,31.344,-116.448,no
BAJA CALIFORNIA,SAN MIGUEL (B. DE LOS ANGELES),SAN MIGUEL (B. DE LOS ANGELES),28.92,-113.54,yes
BAJA CALIFORNIA,CACHAN DE ECHEVERRIA,CACHAN DE ECHEVERRIA,28.63,-113.09,yes
BAJA CALIFORNIA,MUELLE PLANTA PESQUERA TABASQUENA O COMPLEJO,MUELLE PLANTA PESQUERA TABASQUENA O COMPLEJO,NA,NA,NA
BAJA CALIFORNIA,CAMPO EL COLORADO,COLORADITO,30.5795,-114.6692,no
BAJA CALIFORNIA,ESTERO EL ZAPOTAL,ESTERO EL ZAPOTAL,NA,NA,NA
BAJA CALIFORNIA,CAMPO SAHUARO,CAMPO SAHUARO,30.9,-114.78,yes
BAJA CALIFORNIA,MORRO SANTO DOMINGO,SANTO DOMINGO MORRO,28.0406,-114.1,no
BAJA CALIFORNIA,LAGUNA MANUELA.,MANUELA LAGUNA,28.2341,-114.0838,no
BAJA CALIFORNIA,PUNTA ROSARITO,ROSARITO PUNTA,28.5668,-114.1505,no
BAJA CALIFORNIA,PUERTO SALINAA.,SALINA LA,32.05,-116.885,no
BAJA CALIFORNIA,VICENTE GUERRERO,VICENTE GUERRERO,NA,NA,NA
BAJA CALIFORNIA,MATANCITAS,MATANCITAS,NA,NA,NA
BAJA CALIFORNIA,CAMPO COLORADA,CAMPO COLORADA,28.9968,-113.1442,yes
BAJA CALIFORNIA,20 DE NOVIEMBRE,20 DE NOVIEMBRE,NA,NA,NA
BAJA CALIFORNIA,MAZATLAN,NUEVO MAZATLAN,30.7213,-114.7082,yes
BAJA CALIFORNIA,RIO COLORADO,COLORADO RÍO,31.8009,-114.8169,yes
