"scientific_name_clean","main_species_group","recorded_species_name","keyword_1","keyword_2","keyword_3","keyword_4","keyword_5","recorded_species_name_clean","scientific_name","species","genus","family"
"Isurus oxyrinchus","TIBURON","ALETA FCA DE TIBURON MAKO (ISURUS OXYRINCHUS)","ALETA","FCA",NA,NA,NA,"DE TIBURON MAKO (ISURUS OXYRINCHUS)","ISURUS OXYRINCHUS","Isurus oxyrinchus","Isurus","Lamnidae"
"Isurus oxyrinchus","TIBURON","TIBURON MAKO ENT. FCO. (ISURUS OXYRINCHUS)","ENT.","FCO.",NA,NA,NA,"TIBURON MAKO (ISURUS OXYRINCHUS)","ISURUS OXYRINCHUS","Isurus oxyrinchus","Isurus","Lamnidae"
"Isurus oxyrinchus","TIBURON","TIBURON MAKO DESV. FCO. (ISURUS OXYRINCHUS)","DESV.","FCO.",NA,NA,NA,"TIBURON MAKO (ISURUS OXYRINCHUS)","ISURUS OXYRINCHUS","Isurus oxyrinchus","Isurus","Lamnidae"
"Litopenaeus vannamei","CAMARON","CAMARON BLANCO ENT. FCO. (LITOPENAEUS VANNAMEI)","ENT.","FCO.",NA,NA,NA,"CAMARON BLANCO (LITOPENAEUS VANNAMEI)","LITOPENAEUS VANNAMEI","Penaeus vannamei","Penaeus","Penaeidae"
"Litopenaeus vannamei","CAMARON","CAMARON BLANCO DE CULTIVO ENT. FCO. (LITOPENAEUS VANNAMEI)","DE CULTIVO","ENT.","FCO.",NA,NA,"CAMARON BLANCO (LITOPENAEUS VANNAMEI)","LITOPENAEUS VANNAMEI","Penaeus vannamei","Penaeus","Penaeidae"
"Litopenaeus vannamei","CAMARON","CAMARON BLANCO DESC. FCO. (LITOPENAEUS VANNAMEI)","DESC.","FCO.",NA,NA,NA,"CAMARON BLANCO (LITOPENAEUS VANNAMEI)","LITOPENAEUS VANNAMEI","Penaeus vannamei","Penaeus","Penaeidae"
"Lutjanus campechanus","GUACHINANGO","GUACHINANGO DESV. FCO. (LUTJANUS CAMPECHANUS)","DESV.","FCO.",NA,NA,NA,"GUACHINANGO (LUTJANUS CAMPECHANUS)","LUTJANUS CAMPECHANUS","Lutjanus campechanus","Lutjanus","Lutjanidae"
"Lutjanus spp","GUACHINANGO","GUACHINANGO ENT. FCO. (LUTJANUS SPP)","ENT.","FCO.",NA,NA,NA,"GUACHINANGO (LUTJANUS SPP)","LUTJANUS SPP",NA,"Lutjanus","Lutjanidae"
"Magallana gigas","OSTION","OSTION JAPONES (MAGALLANA GIGAS)",NA,NA,NA,NA,NA,"OSTION JAPONES (MAGALLANA GIGAS)","MAGALLANA GIGAS","Magallana gigas","Magallana","Ostreidae"
"Mustelus lunulatus","TIBURON","TIBURON MAMON DESV. FCO. (MUSTELUS LUNULATUS)","DESV.","FCO.",NA,NA,NA,"TIBURON MAMON (MUSTELUS LUNULATUS)","MUSTELUS LUNULATUS","Mustelus lunulatus","Mustelus","Triakidae"
"Mustelus lunulatus","TIBURON","TIBURON MAMON DESV. Y DESC. FCO. (MUSTELUS LUNULATUS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON MAMON (MUSTELUS LUNULATUS)","MUSTELUS LUNULATUS","Mustelus lunulatus","Mustelus","Triakidae"
"Mustelus lunulatus","TIBURON","TIBURON MAMON ENT. FCO. (MUSTELUS LUNULATUS)","ENT.","FCO.",NA,NA,NA,"TIBURON MAMON (MUSTELUS LUNULATUS)","MUSTELUS LUNULATUS","Mustelus lunulatus","Mustelus","Triakidae"
"Negaprion brevirostis","TIBURON","TIBURON LIMON DESV. FCO. (NEGAPRION BREVIROSTIS)","DESV.","FCO.",NA,NA,NA,"TIBURON LIMON (NEGAPRION BREVIROSTIS)","NEGAPRION BREVIROSTIS","Negaprion brevirostris","Negaprion","Carcharhinidae"
"Negaprion brevirostis","TIBURON","TIBURON LIMON ENT. FCO. (NEGAPRION BREVIROSTIS)","ENT.","FCO.",NA,NA,NA,"TIBURON LIMON (NEGAPRION BREVIROSTIS)","NEGAPRION BREVIROSTIS","Negaprion brevirostris","Negaprion","Carcharhinidae"
"Negaprion brevirostris","TIBURON","TIBURON LIMON DESV. FCO. (NEGAPRION BREVIROSTRIS)","DESV.","FCO.",NA,NA,NA,"TIBURON LIMON (NEGAPRION BREVIROSTRIS)","NEGAPRION BREVIROSTRIS","Negaprion brevirostris","Negaprion","Carcharhinidae"
"Negaprion brevirostris","TIBURON","TIBURON LIMON DESV. Y DESC. FCO.  (NEGAPRION BREVIROSTRIS)","DESV.","DESC.","FCO.",NA,NA,"TIBURON LIMON (NEGAPRION BREVIROSTRIS)","NEGAPRION BREVIROSTRIS","Negaprion brevirostris","Negaprion","Carcharhinidae"
"Negaprion brevirostris","TIBURON","TIBURON LIMON ENT. FCO. (NEGAPRION BREVIROSTRIS)","ENT.","FCO.",NA,NA,NA,"TIBURON LIMON (NEGAPRION BREVIROSTRIS)","NEGAPRION BREVIROSTRIS","Negaprion brevirostris","Negaprion","Carcharhinidae"
"Oligoplites altus","SARDINA","PIÑA ENT. FCA. (OLIGOPLITES ALTUS)","ENT.","FCA.",NA,NA,NA,"PIÑA (OLIGOPLITES ALTUS)","OLIGOPLITES ALTUS","Oligoplites altus","Oligoplites","Carangidae"
