Index,main_species_group,recorded_species_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5,recorded_species_name_clean,recorded_scientific_name,recorded_scientific_name_clean,common_name_english_estimated,species_estimated,genus_estimated,family_estimated,source_of_estimate,classification_certainty
103,CAMARON,CAMARON ROJO DESC. CONGELADO,DESC.,CONGELADO,NA,NA,NA,CAMARON ROJO,NA,NA,red shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family; Seafood Watch report suggests Red shrimp species (Farfantepenaeus brasiliensis in the GOM)",
104,CAMARON,CAMARON ROSADO DESC. FCO.,DESC.,FCO.,NA,NA,NA,CAMARON ROSADO,NA,NA,pink shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family; Seafood Watch report suggests Pink shrimp species from the GOM",
105,CAMARON,CAMARON ROSADO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CAMARON ROSADO,NA,NA,pink shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family; Seafood Watch report suggests Pink shrimp species from the GOM",
106,CAMARON,CAMARON SIETE BARBAS ENT. FCO.,ENT.,FCO.,NA,NA,NA,CAMARON SIETE BARBAS,NA,NA,Seven-beard shrimp,Xiphopenaeus riveti,Xiphopenaeus,Penaeidae,dataMares; Seafood Watch report,
107,CAMARON,CAMARON SIETE BARBAS DESC. FCO.,DESC.,FCO.,NA,NA,NA,CAMARON SIETE BARBAS,NA,NA,Seven-beard shrimp,Xiphopenaeus riveti,Xiphopenaeus,Penaeidae,dataMares; Seafood Watch report,
108,CAMARON,CAMARON SINTETICO DESC. FCO.,DESC.,FCO.,NA,NA,NA,CAMARON SINTETICO,NA,NA,synthetic shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",high
109,CAMARON,CAMARON SINTETICO ENT. FCO.,ENT.,FCO.,NA,NA,NA,CAMARON SINTETICO,NA,NA,synthetic shrimp,NA,NA,NA,"shrimp; cannot specify species, genus, or family",high
110,CAMARON,CAMRON AZUL DESC. CONGELADO,DESC.,CONGELADO,NA,NA,NA,CAMRON AZUL,NA,NA,Blue shrimp,Litopenaeus stylirostris,Penaeus,Penaeidae,logical conclusion based on research; Litopenaeus is a newer genus synonym,
111,CARPA,CARPA CUERUDA ENT. FCA.,ENT.,FCA.,NA,NA,NA,CARPA CUERUDA,NA,NA,carp,NA,NA,Cyprinidae,carp; cannot specify species or genus,
112,CARPA,CARPA DE ISRAEL ENT. FCA.,ENT.,FCA.,NA,NA,NA,CARPA DE ISRAEL,NA,NA,Common carp (invasive),Cyprinus carpio,Cyprinus,Cyprinidae,logical conclusion based on research; dataMares,
