"year","estimated_genus_name","Major_Functional_Group","estimated_taxa_group","total_biomass_kg","total_revenue"
2002,"Oligoplites","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",1183.2,4760
2002,"Orthopristis","Demersal marine fishes","OTRAS",46112,191635
2002,"Panulirus","Crustaceans","LANGOSTA",1818268,95737217
2002,"Paralabrax","Demersal marine fishes","OTRAS",4241628.9,16062976
2002,"Paranthias","Demersal marine fishes","OTRAS",1121,12954
2002,"Parapsettus","Demersal marine fishes","OTRAS",890,4450
2002,"Penaeus","Shrimps, prawns","CAMARON",2901581.4,157033593
2002,"Prionace","Sharks","TIBURON",52406.25,234292
2002,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES",919332.7,7315350
2002,"Pseudupeneus","Demersal marine fishes","OTRAS",22963.7,462706
2002,"Rimapenaeus","Shrimps, prawns","CAMARON",42712.2,515769
2002,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO",201030.55,544439
2002,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA",25745,388415
2002,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA",3680040.45,26248144
2002,"Scorpaena","Demersal marine fishes","OTRAS",118980.1,957890
2002,"Selene","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",82687.3,406172
2002,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL",941128.2,6742092
2002,"Sicyonia","Shrimps, prawns","CAMARON",14457.2,180200
2002,"Sphoeroides","Demersal marine fishes","OTRAS",450949.85,6686368
2002,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",502,4016
2002,"Sphyrna","Sharks","TIBURON",693.75,3624
2002,"Squatina","Sharks","TIBURON",476902.55,4029029
2002,"Stereolepis","Demersal marine fishes","OTRAS",111.9,2082
2002,"Strongylocentrotus","Echinoderms","ERIZO",442304,8203419
2002,"Synodus","Demersal marine fishes","OTRAS",15937,85706
2002,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN",1597180,13405050
2002,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO",198030.6,1037607
2002,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",62707,2494526
2003,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",1387.35,9781
2003,"Acanthurus","Demersal marine fishes","OTRAS",12022,157569
2003,"Aetobatus","Demersal marine fishes","RAYA Y SIMILARES",29406.05,86480
2003,"Alopias","Sharks","TIBURON",42254.4,322938
2003,"Anisotremus","Demersal marine fishes","OTRAS",160251.95,909824
2003,"Anoplopoma","Demersal marine fishes","OTRAS",30469.75,285778
2003,"Argopecten","Molluscs excl. Cephalopods","ALMEJA",6651563,32916037
2003,"Ariopsis","Demersal marine fishes","BAGRE",11890,75444
2003,"Balistes","Demersal marine fishes","OTRAS",1200494,10948933
2003,"Brotula","Demersal marine fishes","LENGUADO",180913.5,2018879
2003,"Calamus","Demersal marine fishes","MOJARRA",25890,138364
2003,"Caranx","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",51690.7,2561224
2003,"Carcharhinus","Sharks","TIBURON",122561.1,505721
2003,"Caulolatilus","Demersal marine fishes","PIERNA",823501.25,4585077
2003,"Centropomus","Demersal marine fishes","ROBALO",421221.3,10374748
2003,"Cetengraulis","Anchovy & Sardine (small pelagics)","SARDINA",19058316.28,3224500
2003,"Chanos","Diadromous fishes","OTRAS",37411,205421
2003,"Coryphaena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",544649.65,5053047
2003,"Cynoscion","Demersal marine fishes","CORVINA",4393115,41954272
2003,"Diapterus","Demersal marine fishes","MOJARRA",20046,222441
2003,"Diplectrum","Demersal marine fishes","OTRAS",68636.9,1221597
2003,"Dosidicus","Cephalopods","CALAMAR",72912686.2,58942885
2003,"Dosinia","Molluscs excl. Cephalopods","ALMEJA",195877,671428
2003,"Epinephelus","Demersal marine fishes","MERO",57361.1,907890
2003,"Especies","Echinoderms","PEPINO DE MAR",200822,1355783
2003,"Etrumeus","Anchovy & Sardine (small pelagics)","SARDINA",8032614.88,3596404
2003,"Eucinostomus","Demersal marine fishes","MOJARRA",58831,458147
2003,"Eugerres","Demersal marine fishes","MOJARRA",31237,246050
2003,"Farfantepenaeus","Shrimps, prawns","CAMARON",5757,281579
2003,"Galeocerdo","Sharks","TIBURON",2347.5,8866
2003,"Gelidium","Marine algae","ALGAS",5082790,5033309
2003,"Gerres","Demersal marine fishes","BANDERA",121955.8,463207
2003,"Ginglymostoma","Sharks","TIBURON",3810.4,14820
2003,"Haemulon","Demersal marine fishes","OTRAS",445271.8,2343858
2003,"Haemulopsis","Demersal marine fishes","RONCO",239409.8,1091836
2003,"Haliotis","Molluscs excl. Cephalopods","ABULON",710080.96,53925336
2003,"Hexaplex","Molluscs excl. Cephalopods","CARACOL",33430,9800
2003,"Hoplopagrus","Demersal marine fishes","PARGO",90321,1331628
2003,"Hypanus","Demersal marine fishes","RAYA Y SIMILARES",1790718,11295037
2003,"Hyporthodus","Demersal marine fishes","MERO",407576.3,9501810
2003,"Istiophorus","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",21183.45,109729
2003,"Katsuwonus","Pelagic marine fish (excl. anchovy & sardine)","BARRILETE",5604279.3,33492512
2003,"Lamna","Sharks","TIBURON",4357.1,63936
2003,"Litopenaeus","Shrimps, prawns","CAMARON",50442.2,3557440
2003,"Lobatus","Molluscs excl. Cephalopods","CARACOL",16822,40276
2003,"Lutjanus","Demersal marine fishes","GUACHINANGO",2942200,62487264
2003,"Megapitaria","Molluscs excl. Cephalopods","ALMEJA",1727526,6564413
2003,"Megastraea","Molluscs excl. Cephalopods","CARACOL",1269558,3735647
2003,"Menticirrhus","Demersal marine fishes","BERRUGATA",288054.6,1230658
2003,"Merluccius","Demersal marine fishes","OTRAS",969268.3,6091537
2003,"Mesocentrotus","Echinoderms","ERIZO",1559272,54976601
2003,"Microlepidotus","Demersal marine fishes","OTRAS",114648.2,1219934
2003,"Micropogonias","Demersal marine fishes","BERRUGATA",2157378.25,11460551
2003,"Mobula","Demersal marine fishes","RAYA Y SIMILARES",1141431.25,7292581
2003,"Mugil","Demersal marine fishes","LISA",2400771.2,11500910
2003,"Mustelus","Sharks","TIBURON",306830.75,3151147
2003,"Mycteroperca","Demersal marine fishes","CABRILLA",622496.35,9671029
2003,"Nematistius","Demersal marine fishes","OTRAS",421.5,3835
2003,"Nicholsina","Demersal marine fishes","OTRAS",10045.6,259515
2003,"Opisthonema","Anchovy & Sardine (small pelagics)","SARDINA",149525466.24,21288066
2003,"Orthopristis","Demersal marine fishes","OTRAS",35378,147639
2003,"Panulirus","Crustaceans","LANGOSTA",2026261,124379853
2003,"Paralabrax","Demersal marine fishes","OTRAS",5011745.8,19935602
2003,"Paranthias","Demersal marine fishes","OTRAS",2489,24965
2003,"Parapsettus","Demersal marine fishes","OTRAS",1352,6760
2003,"Penaeus","Shrimps, prawns","CAMARON",8971636,514222656
2003,"Prionace","Sharks","TIBURON",221092.15,929560
2003,"Pseudobatos","Demersal marine fishes","RAYA Y SIMILARES",1464584,13237641
2003,"Pseudupeneus","Demersal marine fishes","OTRAS",19498.1,447640
2003,"Rimapenaeus","Shrimps, prawns","CAMARON",311860,3991595
2003,"Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO",68172.45,273372
2003,"Sardinops","Anchovy & Sardine (small pelagics)","SARDINA",201260172.84,46329184
2003,"Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA",10085197.52,11272759
2003,"Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA",4251932.61,37307995
2003,"Scorpaena","Demersal marine fishes","OTRAS",124359.1,944814
2003,"Selene","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",154540.6,818035
2003,"Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL",1388309.6,10569650
2003,"Sicyonia","Shrimps, prawns","CAMARON",204262.6,1226447
2003,"Sphoeroides","Demersal marine fishes","OTRAS",741186.25,12344179
2003,"Sphyraena","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",500,3000
2003,"Sphyrna","Sharks","TIBURON",27133.85,146933
2003,"Squatina","Sharks","TIBURON",762652.7,7265856
2003,"Stereolepis","Demersal marine fishes","OTRAS",346,9410
2003,"Strongylocentrotus","Echinoderms","ERIZO",263989,6994284
2003,"Synodus","Demersal marine fishes","OTRAS",52894,251477
2003,"Thunnus","Pelagic marine fish (excl. anchovy & sardine)","ATUN",83027195.5,460594969
2003,"Trachinotus","Pelagic marine fish (excl. anchovy & sardine)","PAMPANO",206036.5,808256
2003,"Xiphias","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",34543.25,1067259
2004,"Ablennes","Pelagic marine fish (excl. anchovy & sardine)","OTRAS",600.2,4140
