recorded_taxa_group,common_name_clean,estimated_species_name,species_est_certainty,species_est_reasoning,estimated_genus_name,genus_est_reasoning,estimated_taxa_group,Manual_Classification_Notes,ornamentalFLAG_1,IHH_functional_major_groups_sm,Major_Functional_Group,Assignment_for_Major_Functional_Group
ORNATO,peces ornato,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic ornamental fish category; cannot assign species or genus.,YES,NA,Marine fishes NEI,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,perca,unknown,not applicable,no data in keys,NA,genus unknown,NA,A surf perch?,NO,NA,Marine fishes NEI,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,pez mar,unknown,not applicable,no data in keys,NA,genus unknown,NA,Generic marine fish category; cannot assign species or genus.,NO,NA,Marine fishes NEI,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,callo,unknown,not applicable,no data in keys,NA,genus unknown,NA,Not sure what type of pin shell,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,callo hacha,unknown,not applicable,no data in keys,NA,genus unknown,NA,https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,callo hacha largo,unknown,not applicable,no data in keys,NA,genus unknown,NA,https://www.fondazioneslowfood.com/en/ark-of-taste-slow-food/callo-de-hacha/,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,callo media luna,unknown,not applicable,no data in keys,NA,genus unknown,NA,"Some sort of scallop or oyster, check with experts if ornamental",POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,hacha china,Atrina maura,high confidence,match to Hem's key,Atrina,genus derived from known species,NA,"Pinna, callo de hacha",POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,hacha larga,Pinna rugosa,high confidence,match to Hem's key,Pinna,genus derived from known species,NA,Rough pen shell,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,madre perla,unknown,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,"Mother of pearl, possibly oyster",YES,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,mejillon california,unknown,not applicable,no data in keys,NA,genus unknown,NA,mussels,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,mejillon encorvado,unknown,not applicable,no data in keys,NA,genus unknown,NA,mussels,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,mejillon mediterraneo,Mytilus Galloprovincialis,virtually certain,name was recorded in CONAPESCA,Mytilus,genus derived from known species,NA,mussels,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,mejillon mediterraneo,unknown,not applicable,no data in keys,NA,genus unknown,NA,mussels,POSSIBLY,NA,Molluscs excl. Cephalopods,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,acocil,Cambarellus montezumae,medium confidence,conflicting matches in Hem's key and no data from IHH,NA,genus unknown,NA,Freshwater crayfish,NO,NA,Other freshwater taxa,Assigned_Manually: OTRAS treated differently than other major groups
OTRAS,rana,unknown,not applicable,no data in keys,NA,genus unknown,NA,Frogs!,NO,NA,Other freshwater taxa,Assigned_Manually: OTRAS treated differently than other major groups
