"recorded_taxa_group","recorded_taxa_name_clean","common_name_clean","keywords_1","keywords_2","keywords_3","keywords_4","keywords_5"
"BAGRE","BAGRE CANAL","bagre canal","DESV","FCO",NA,NA,NA
"SARGAZO","SARGAZO","sargazo","SECO",NA,NA,NA,NA
"RAYA Y SIMILARES","RAYA ELECTRICA","raya electrica","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON LIMON","tiburon limon","DESV","DESC","FCO",NA,NA
"OTRAS","SERRANO","serrano","ENT","FCO",NA,NA,NA
"OTRAS","AGUJILLA","agujilla","ENT","FCA",NA,NA,NA
"OSTION","OSTION MANGLE","ostion mangle","ENT","FCO",NA,NA,NA
"CARPA","CARPA BARRIGONA","carpa barrigona","DESV","FCA",NA,NA,NA
"PETO","SERRUCHO","serrucho","ENT","FCO",NA,NA,NA
"OTRAS","JOPATON","jopaton","ENT","FCO",NA,NA,NA
"CARPA","CARPA DORADA","carpa dorada","ENT","FCA",NA,NA,NA
"OTRAS","SARGO","sargo","ENT","FCO",NA,NA,NA
"TIBURON","TIBURON LIMON","tiburon limon","ENT","FCO",NA,NA,NA
"JAIBA","JAIBA PATA COLORADA","jaiba pata colorada","ENT","FCA",NA,NA,NA
"ALMEJA","ALMEJA ESPINA","almeja espina","CONCHA","ENT","FCA",NA,NA
"CAMARON","CAMARON PROFUNDIDAD","camaron profundidad",NA,NA,NA,NA,NA
"PARGO","CANSHIC","canshic","ENT","FCO",NA,NA,NA
"CARPA","CARPA ESCAMUDA","carpa escamuda","ENT","FCA",NA,NA,NA
"OSTION","OSTION JAPONES","ostion japones","ENT","FCO",NA,NA,NA
"OTRAS","PEZ SEÑORITA","pez señorita","ENT","FCA",NA,NA,NA
"CARPA","CARPA NEGRA","carpa negra","ENT","FCA",NA,NA,NA
"OTRAS","CORUCO","coruco","ENT","FCO",NA,NA,NA
"ALMEJA","ALMEJA PARDA","almeja parda","ENT","FCA",NA,NA,NA
"OTRAS","ESCOCHIN","escochin","FILETE","FCO",NA,NA,NA
"OTRAS","HACHA CHINA","hacha china","ENT","FCA",NA,NA,NA
"LENGUADO","TEPALCATE","tepalcate","ENT","FCO",NA,NA,NA
"PARGO","VILLA RUBIA","villa rubia","ENT","FCA",NA,NA,NA
"SARDINA","SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","sardina bocona","IND",NA,NA,NA,NA
"ANCHOVETA","ANCHOVETA (ENGRAULIS MORDAX)","anchoveta","IND",NA,NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta","DESV","DESC","FCO",NA,NA
"SARDINA","SARDINA JAPONESA (ETRUMEUS ACUMINATUS)","sardina japonesa","IND",NA,NA,NA,NA
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta","DESV","FCO",NA,NA,NA
"ANCHOVETA","ANCHOVETA (ENGRAULIS MORDAX)","anchoveta","ENT","FCA",NA,NA,NA
"SARDINA","SARDINA JAPONESA (ETRUMEUS ACUMINATUS)","sardina japonesa","ENT","FCA",NA,NA,NA
"OTRAS","CHARRITO (TRACHURUS SYMMETRICUS)","charrito","ENT","FCO","IND",NA,NA
"OTRAS","CHARRITO (TRACHURUS SYMMETRICUS)","charrito","ENT","FCO",NA,NA,NA
"SARDINA","PIÑA (OLIGOPLITES ALTUS)","piña","ENT","FCA","IND",NA,NA
"TIBURON","TIBURON CORNUDA PRIETA (SPHYRNA ZYGAENA)","tiburon cornuda prieta","ENT","FCO",NA,NA,NA
"SARDINA","SARDINA BOCONA (CETENGRAULIS MYSTICETUS)","sardina bocona","ENT","FCA",NA,NA,NA
"MOJARRA","MOJARRA ESPAÑOLA","mojarra española","ENT","FCA",NA,NA,NA
"TIBURON","TIBURON CARTON (CARCHARHINUS PLUMBEUS)","tiburon carton","ENT","FCO",NA,NA,NA
"LENGUADO","SAN PEDRO","san pedro","ENT","FCO",NA,NA,NA
"LENGUADO","LENGUADO MOTEADO","lenguado moteado","ENT","FCO",NA,NA,NA
"LISA","LISA FRANCESA","lisa francesa","ENT","FCA",NA,NA,NA
"ROBALO","ROBALO PRIETO","robalo prieto","ENT","FCO",NA,NA,NA
"TIBURON","CRUZ","cruz","ENT","FCA",NA,NA,NA
