"year","OHI_region_est","estimated_species_name","annual_Catch_kg","mean_Catch_2018.22_kg","n.years_Catch_2018.22","Year_of_Recommendation","status","control","notes","Stock_Status"
2024,"region_9","hoplopagrus guentherii",50657.4,65171.7,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","isurus oxyrinchus",13060,12140.9,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","isurus oxyrinchus",37825,12140.9,5,2023,"maximally harvested","no increase",NA,0.32097554527429
2020,"region_9","isurus oxyrinchus",3150.4,12140.9,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","isurus oxyrinchus",2465,12140.9,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","isurus oxyrinchus",4204.1,12140.9,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","litopenaeus vannamei",9941703.5,9805919.6,5,2017,"maximally harvested","no increase",NA,1
2019,"region_9","litopenaeus vannamei",9225826.9,9805919.6,5,2017,"maximally harvested","no increase",NA,1
2020,"region_9","litopenaeus vannamei",10131015.2,9805919.6,5,2017,"maximally harvested","no increase",NA,1
2021,"region_9","litopenaeus vannamei",10409892.4,9805919.6,5,2017,"maximally harvested","no increase",NA,1
2022,"region_9","litopenaeus vannamei",9321160,9805919.6,5,2017,"maximally harvested","no increase",NA,1
2018,"region_9","lutjanus argentiventris",82252.7,84918.56,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","lutjanus argentiventris",68405.4,84918.56,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","lutjanus argentiventris",83917.4,84918.56,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","lutjanus argentiventris",96766.6,84918.56,5,2023,"maximally harvested","no increase",NA,0.87756064592535
2022,"region_9","lutjanus argentiventris",93250.7,84918.56,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","lutjanus argentiventris",90128,84918.56,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","lutjanus argentiventris",54272.7,84918.56,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","lutjanus colorado",20530,6980.58,5,2023,"maximally harvested","no increase",NA,0.340018509498295
2019,"region_9","lutjanus colorado",1961.2,6980.58,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","lutjanus colorado",5605.8,6980.58,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","lutjanus colorado",3987.5,6980.58,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","lutjanus colorado",2818.4,6980.58,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","lutjanus colorado",4494,6980.58,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","lutjanus colorado",72536.78,6980.58,5,2023,"maximally harvested","no increase",NA,0.0962350410371125
2018,"region_9","lutjanus guttatus",593229.2,319012.1,5,2023,"maximally harvested","no increase",NA,0.537755221759145
2019,"region_9","lutjanus guttatus",517439.2,319012.1,5,2023,"maximally harvested","no increase",NA,0.616520936179555
2020,"region_9","lutjanus guttatus",226425.5,319012.1,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","lutjanus guttatus",122208.4,319012.1,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","lutjanus guttatus",135758.2,319012.1,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","lutjanus guttatus",132908,319012.1,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","lutjanus guttatus",130251.2,319012.1,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","lutjanus peru",685.6,11473.5,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","lutjanus peru",3708.6,11473.5,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","lutjanus peru",36462.35,11473.5,5,2023,"maximally harvested","no increase",NA,0.314667046967626
2021,"region_9","lutjanus peru",7801.7,11473.5,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","lutjanus peru",8709.25,11473.5,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","lutjanus peru",146535,11473.5,5,2023,"maximally harvested","no increase",NA,0.0782986999692906
2024,"region_9","lutjanus peru",159336,11473.5,5,2023,"maximally harvested","no increase",NA,0.0720082090676307
2018,"region_9","mugil cephalus",65967,47038.84,5,2023,"maximally harvested","no increase",NA,0.713066230084739
2018,"region_9","mugil cephalus",36334,16546.4,5,2023,"maximally harvested","no increase",NA,0.455397148676171
2019,"region_9","mugil cephalus",24069.2,47038.84,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","mugil cephalus",34116,16546.4,5,2023,"maximally harvested","no increase",NA,0.485004103646383
2020,"region_9","mugil cephalus",28741,47038.84,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","mugil cephalus",8170,16546.4,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","mugil cephalus",90994,47038.84,5,2023,"maximally harvested","no increase",NA,0.516944413917401
2021,"region_9","mugil cephalus",1685,16546.4,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","mugil cephalus",25423,47038.84,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","mugil cephalus",2427,16546.4,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","mugil cephalus",5298,16546.4,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","mugil cephalus",15138,16546.4,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","nasolamia velox",68311.25,48258.55,5,2023,"maximally harvested","no increase",NA,0.706450987209281
2019,"region_9","nasolamia velox",67056.25,48258.55,5,2023,"maximally harvested","no increase",NA,0.719672662876317
2020,"region_9","nasolamia velox",32688.25,48258.55,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","nasolamia velox",49642.5,48258.55,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","nasolamia velox",23594.5,48258.55,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","nasolamia velox",24404,48258.55,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","nasolamia velox",20663.75,48258.55,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","panulirus gracilis",1500,2148.75,4,2023,"maximally harvested","no increase","Nayarit has development potential, but went with the average",1
2020,"region_9","panulirus gracilis",1845,2148.75,4,2023,"maximally harvested","no increase","Nayarit has development potential, but went with the average",1
2021,"region_9","panulirus gracilis",2717,2148.75,4,2023,"maximally harvested","no increase","Nayarit has development potential, but went with the average",0.790853882959146
2022,"region_9","panulirus gracilis",2533,2148.75,4,2023,"maximally harvested","no increase","Nayarit has development potential, but went with the average",0.848302408211607
2023,"region_9","panulirus gracilis",2087,2148.75,4,2023,"maximally harvested","no increase","Nayarit has development potential, but went with the average",1
2018,"region_9","prionace glauca",203463.75,138597.52,5,2023,"maximally harvested","no increase",NA,0.681190236590056
2019,"region_9","prionace glauca",307060,138597.52,5,2023,"maximally harvested","no increase",NA,0.451369504331401
2020,"region_9","prionace glauca",77423.25,138597.52,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","prionace glauca",64396.9,138597.52,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","prionace glauca",40643.7,138597.52,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","rhizoprionodon longurio",290130.5,275195.07,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","rhizoprionodon longurio",268404.05,275195.07,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","rhizoprionodon longurio",266471.5,275195.07,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","rhizoprionodon longurio",224314.35,275195.07,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","rhizoprionodon longurio",326654.95,275195.07,5,2023,"maximally harvested","no increase",NA,0.842464104707429
2018,"region_9","scomberomorus sierra",1111972.1,826383.64,5,2023,"maximally harvested","no increase",NA,0.743169401462501
2019,"region_9","scomberomorus sierra",884063.9,826383.64,5,2023,"maximally harvested","no increase",NA,1
2020,"region_9","scomberomorus sierra",646150,826383.64,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","scomberomorus sierra",677100.6,826383.64,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","scomberomorus sierra",812631.6,826383.64,5,2023,"maximally harvested","no increase",NA,1
2023,"region_9","scomberomorus sierra",612733,826383.64,5,2023,"maximally harvested","no increase",NA,1
2024,"region_9","scomberomorus sierra",591005.43,826383.64,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","sphyrna mokarran",910,96477.2,5,2023,"maximally harvested","no increase",NA,1
2019,"region_9","sphyrna mokarran",423742.75,96477.2,5,2023,"maximally harvested","no increase",NA,0.227678703647437
2020,"region_9","sphyrna mokarran",8578.75,96477.2,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","sphyrna mokarran",36568.5,96477.2,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","sphyrna mokarran",12586,96477.2,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","sphyrna zygaena",421780,141140.47,5,2023,"maximally harvested","no increase",NA,0.334630541988715
2019,"region_9","sphyrna zygaena",180836.05,141140.47,5,2023,"maximally harvested","no increase",NA,0.780488569618724
2020,"region_9","sphyrna zygaena",65186.5,141140.47,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","sphyrna zygaena",22141.75,141140.47,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","sphyrna zygaena",15758.05,141140.47,5,2023,"maximally harvested","no increase",NA,1
2018,"region_9","thunnus albacares",627281,508443.2,5,2023,"maximally harvested","no increase",NA,0.810550933313778
2019,"region_9","thunnus albacares",644821,508443.2,5,2023,"maximally harvested","no increase",NA,0.788502855831308
2020,"region_9","thunnus albacares",456891.8,508443.2,5,2023,"maximally harvested","no increase",NA,1
2021,"region_9","thunnus albacares",449874,508443.2,5,2023,"maximally harvested","no increase",NA,1
2022,"region_9","thunnus albacares",363348.2,508443.2,5,2023,"maximally harvested","no increase",NA,1
