"Region","Stock","Major_Functional_Group","estimated_taxa_group","estimated_family_name","Source","Comment","Sufficient_No_Years","Yes_Run","MinOfYear","MaxOfYear","StartYear","EndYear","Flim","Fpa","Blim","Bpa","Bmsy","FMSY","MSY","MSYBtrigger","B40","M","Fofl","last_F","Resilience","r.low","r.hi","st_b.low","st_b.hi","int_yr","int_b.low","int_b.hi","end_b.low","end_b.hi","q.start","q.end","btype","force.cmsy"
"GOC","Rimapenaeus","Shrimps, prawns","CAMARON","Penaeidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Sarda","Pelagic marine fish (excl. anchovy & sardine)","BONITO","Carangidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Sardinops","Anchovy & Sardine (small pelagics)","SARDINA","Clupeidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Scomber","Pelagic marine fish (excl. anchovy & sardine)","MACARELA","Scombridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Scomberomorus","Pelagic marine fish (excl. anchovy & sardine)","SIERRA","Scombridae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Scorpaena","Demersal marine fishes","OTRAS","Scorpaenidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Selene","Pelagic marine fish (excl. anchovy & sardine)","RONCO","Carangidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Seriola","Pelagic marine fish (excl. anchovy & sardine)","ESMEDREGAL","Carangidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Sphoeroides","Demersal marine fishes","OTRAS","Tetraodontidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Sphyrna","Sharks","TIBURON","Sphyrnidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
"GOC","Squatina","Sharks","TIBURON","Squatinidae","CONAPESCA","Timeseries generated by Erica Ferrer, April 3 2026.Stock is estimated at the genus level.",TRUE,"Yes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"None","TRUE"
