cinfo.stock.i.,stock,yr,ct.raw,B,lcl.B,ucl.B,B.Bmsy,lcl.B.Bmsy,ucl.B.Bmsy,F.Fmsy,lcl.F.Fmsy,ucl.F.Fmsy
mugil,mugil,2001,2097.096,6230.968247,5223.133828,7100.270125,0.571540775,0.479096319,0.651278216,1.282958801,1.125883299,1.530513254
mugil,mugil,2002,2818.291,6486.206558,5391.285064,7428.444314,0.594952722,0.494520132,0.681380268,1.656322858,1.446231772,1.992707129
mugil,mugil,2003,2390.2282,6484.460119,5511.994903,7588.362081,0.594792529,0.505592343,0.696048859,1.405126676,1.200718652,1.653029085
mugil,mugil,2004,2791.0315,6404.311009,5430.697177,7528.625991,0.587440784,0.498135241,0.690569517,1.661277795,1.413184781,1.959111202
mugil,mugil,2005,2112.2877,6156.165756,5192.149785,7155.549071,0.564679453,0.476254282,0.656348724,1.307954697,1.125278555,1.550800006
mugil,mugil,2006,2079.218,5969.21446,5066.373754,6953.553898,0.547531189,0.46471737,0.637820548,1.327800355,1.139838016,1.56441776
mugil,mugil,2007,1194.424,5884.275738,4830.925704,6875.675879,0.539740114,0.443120701,0.630677121,0.773776333,0.662205925,0.942492926
mugil,mugil,2008,1761.7357,6174.357196,5004.874184,7259.371248,0.566348079,0.459076271,0.6658719,1.087674486,0.925106398,1.341830092
mugil,mugil,2009,2068.958,6730.494721,5396.321328,7750.25869,0.617360258,0.494982088,0.710898961,1.171803047,1.017619481,1.46151679
mugil,mugil,2010,1979.5127,7365.634575,5888.640879,8329.059305,0.675618993,0.54014051,0.763989932,1.024467204,0.905966783,1.281424902
mugil,mugil,2011,2442.91,7806.615338,6183.959538,8675.640995,0.716068322,0.567228861,0.795780427,1.192874139,1.073385765,1.505881384
mugil,mugil,2012,2542.376,8199.329865,6541.577909,9345.931491,0.75209039,0.600031706,0.857263384,1.181983347,1.036972224,1.481518908
mugil,mugil,2013,2820.845,8423.744356,6620.619016,9862.026621,0.772674997,0.607281817,0.904602641,1.276509294,1.090342622,1.624166552
mugil,mugil,2014,2053.0568,8512.529173,6873.238302,10017.33249,0.780818859,0.630453533,0.918848201,0.919374149,0.781265798,1.138648032
mugil,mugil,2015,3117.3262,8613.418651,6986.49736,10257.62496,0.790073031,0.640842314,0.94088923,1.379610941,1.158471542,1.700876132
mugil,mugil,2016,3516.4435,8656.013422,7206.71566,10365.31474,0.793980072,0.661042022,0.950767165,1.548587178,1.293216051,1.860013914
mugil,mugil,2017,3348.3925,8447.048601,6928.987483,10202.15928,0.774812599,0.635567173,0.935801593,1.51105859,1.251106261,1.842114072
mugil,mugil,2018,3645.1874,7876.502641,6588.803465,9433.195241,0.722478793,0.604363509,0.865267724,1.764153513,1.473027903,2.108935239
mugil,mugil,2019,3734.97623,7094.084982,6028.408018,8362.153435,0.650710879,0.552960768,0.767025519,2.006972363,1.702627512,2.361756612
mugil,mugil,2020,2383.6242,6126.546083,5214.529948,7185.725215,0.561962564,0.478307121,0.659116656,1.483105406,1.264495001,1.742499076
mugil,mugil,2021,1552.0907,5243.907737,4355.576001,6250.690965,0.481001824,0.399518852,0.573349857,1.172830557,0.98392566,1.412032583
mugil,mugil,2022,2197.4196,4723.068818,3635.139325,5890.903447,0.433227438,0.333436195,0.540348046,2.046881528,1.641100114,2.659475045
mugil,mugil,2023,394.47,4333.412002,2878.485871,5833.822412,0.397485841,0.264031524,0.535112241,0.436498018,0.324234373,0.657125251
mugil,mugil,2024,362.5865,4412.782564,2340.802847,6491.9013,0.404766172,0.214712099,0.595475077,0.386914346,0.262999821,0.729394568
