"estimated_species_name","OHI_region","Year_of_Recommendation","status","control","notes","status_adjusted","control_adjusted"
"centropomus robalito","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_1",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_2",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_3",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_4",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_5",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_6",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_7",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_8",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"centropomus viridis","region_9",2023,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_1",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_2",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_3",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_4",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_5",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_6",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_7",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_8",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"cetengraulis mysticetus","region_9",2022,"maximally harvested","no increase",NA,"maximally harvested","no increase"
"chione californianensis","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione californianensis","region_9",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_1",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_2",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_3",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_4",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_5",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_6",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_7",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
"chione undatella","region_8",2023,"maximally harvested","no increase","Sonora was undetermined, but decided to go with the value of surrounding regions","maximally harvested","no increase"
