estimated_genus_name,Major_Functional_Group,Major_Functional_Group_adjusted,estimated_taxa_group,family_from_previous.keys,family_from_taxize,new_estimated_family_name,new_family_est_reasoning
Actinia,Other marine invertebrates,Other marine invertebrates,OTRAS,NA,Actiniidae,Actiniidae,family name was estimated from genus name using taxize function
Atherinopsis,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),JUREL,Atherinopsidae,Atherinopsidae,Atherinopsidae,family name was estimated from previous keys
Ablennes,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Belonidae,Belonidae,Belonidae,family name was estimated from previous keys
Belone,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,NA,Belonidae,Belonidae,family name was estimated from genus name using taxize function
Strongylura,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Belonidae,Belonidae,Belonidae,family name was estimated from previous keys
Caranx,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),BONITO,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Chloroscombrus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Decapterus,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),JUREL,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Gnathanodon,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),PAMPANO,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Hemicaranx,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Sarda,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),BONITO,Carangidae,Scombridae,Carangidae,family name was estimated from previous keys
Selar,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),OTRAS,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Selene,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),RONCO,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
Seriola,Pelagic marine fish (excl. anchovy & sardine),Pelagic marine fish (excl. anchovy & sardine),ESMEDREGAL,Carangidae,Carangidae,Carangidae,family name was estimated from previous keys
