year,eu_rnpa,Major_Functional_Group,total_catch_kg
2018,0304000862,Pelagic marine fish (excl. anchovy & sardine),112
2018,0304000870,Cephalopods,1936
2018,0304000870,Demersal marine fishes,6189.8
2018,0304000870,Marine fishes NEI,25
2018,0304000870,Marine or freshwater fishes NEI,45
2018,0304000870,Molluscs excl. Cephalopods,60134
2018,0304000870,Pelagic marine fish (excl. anchovy & sardine),4675
2018,0304000870,Sharks,3018.4
2018,0304000896,Cephalopods,8846.2
2018,0304000896,Molluscs excl. Cephalopods,48622
2018,0304000987,Cephalopods,4285.6
2018,0304000987,Molluscs excl. Cephalopods,13015
2018,0304000995,Cephalopods,495
2018,0304000995,Molluscs excl. Cephalopods,22801
2018,0304001027,Cephalopods,396
2018,0304001027,Molluscs excl. Cephalopods,17514
2018,0304001035,Cephalopods,2711.5
2018,0304001035,Molluscs excl. Cephalopods,32382
2018,0304001050,Demersal marine fishes,4723.2
2018,0304001050,Marine fishes NEI,49
2018,0304001050,Marine or freshwater fishes NEI,145
2018,0304001050,Pelagic marine fish (excl. anchovy & sardine),864
2018,0304001050,Sharks,5908.1
2018,0304001068,Demersal marine fishes,2530.8
2018,0304001068,Molluscs excl. Cephalopods,51747
2018,0304001068,Pelagic marine fish (excl. anchovy & sardine),200
2018,0304001068,Sharks,2202.2
2018,0304001126,Molluscs excl. Cephalopods,40200
2018,0304001159,Molluscs excl. Cephalopods,15
2018,0305000028,Cephalopods,839.0029999999999
2018,0305000028,Crustaceans,12752.4
2018,0305000028,Demersal marine fishes,5441.43
2018,0305000028,Marine or freshwater fishes NEI,1036
2018,0305000051,Demersal marine fishes,26235
2018,0305000051,Pelagic marine fish (excl. anchovy & sardine),14600
2018,0305000051,Sharks,860
2018,0305000069,Demersal marine fishes,31749.4
2018,0305000069,Pelagic marine fish (excl. anchovy & sardine),11354
2018,0305000069,Sharks,20105
2018,0305000101,Crustaceans,856
2018,0305000127,Demersal marine fishes,20081
2018,0305000127,Molluscs excl. Cephalopods,4190
2018,0305000127,Pelagic marine fish (excl. anchovy & sardine),2458
2018,0305000127,Sharks,4035
2018,0305000135,Demersal marine fishes,48735.3
2018,0305000135,Pelagic marine fish (excl. anchovy & sardine),1838
2018,0305000135,Sharks,32200
2018,0305000242,"Shrimps, prawns",20848
2018,0305000242,unknown,1076.16
2018,0305000358,Crustaceans,2574
2018,0305000358,Demersal marine fishes,3102
2018,0305000671,Demersal marine fishes,181.5
2018,0305000713,Demersal marine fishes,18207.8
2018,0305000713,Marine species NEI,66
2018,0305000713,Pelagic marine fish (excl. anchovy & sardine),1987.6
2018,0305000713,Sharks,1930
2018,0305001257,Sharks,12993
2018,0305001588,Demersal marine fishes,8000
2018,0305001588,"Shrimps, prawns",17040
2018,0305001893,Demersal marine fishes,16494.3
2018,0305001893,Marine or freshwater fishes NEI,2423
2018,0305001893,Marine species NEI,400
2018,0305001893,Pelagic marine fish (excl. anchovy & sardine),3528
2018,0305001893,Sharks,954
2018,0305002354,Demersal marine fishes,36598
2018,0305002354,Pelagic marine fish (excl. anchovy & sardine),100
2018,0305002644,Molluscs excl. Cephalopods,2200
2018,0305002929,Demersal marine fishes,8269
2018,0305002929,Pelagic marine fish (excl. anchovy & sardine),1548.1
2018,0305002929,Sharks,10054.95
2018,0305003113,Demersal marine fishes,14853.949999999999
2018,0305003113,Marine or freshwater fishes NEI,315
2018,0305003113,Pelagic marine fish (excl. anchovy & sardine),3463
2018,0305003154,Cephalopods,1023
2018,0305003162,Demersal marine fishes,38497.1
2018,0305003162,Pelagic marine fish (excl. anchovy & sardine),774.1
2018,0305003188,Demersal marine fishes,35831.5
2018,0305003188,Marine or freshwater fishes NEI,15
2018,0305003188,Pelagic marine fish (excl. anchovy & sardine),430
2018,0305003188,Sharks,80280
2018,0305003204,Demersal marine fishes,1631
2018,0305003717,Molluscs excl. Cephalopods,38282
2018,0305004244,Demersal marine fishes,6690
2018,0305004244,Pelagic marine fish (excl. anchovy & sardine),1500
2018,0305004244,Sharks,2150
2018,0305004459,Demersal marine fishes,12588.4
2018,0305004459,Pelagic marine fish (excl. anchovy & sardine),1196
2018,0305004459,Sharks,32106
2018,0305004533,Demersal marine fishes,11629
2018,0305004533,Marine species NEI,22
2018,0305004533,Pelagic marine fish (excl. anchovy & sardine),1350
2018,0305004533,Sharks,20300
2018,0305004715,Demersal marine fishes,43675
2018,0305004715,Pelagic marine fish (excl. anchovy & sardine),350
2018,0305004715,Sharks,4150
2018,0305004749,Demersal marine fishes,18105.5
2018,0305004749,Pelagic marine fish (excl. anchovy & sardine),210
2018,0305004798,Molluscs excl. Cephalopods,3500
2018,0305004921,Anchovy & Sardine (small pelagics),2565
2018,0305004921,Pelagic marine fish (excl. anchovy & sardine),1873
2018,0305004947,Anchovy & Sardine (small pelagics),3015.96
2018,0305004947,Pelagic marine fish (excl. anchovy & sardine),3120
2018,0305004988,Anchovy & Sardine (small pelagics),3823.44
2018,0305004988,Pelagic marine fish (excl. anchovy & sardine),4627
2018,0305005183,Demersal marine fishes,24906.1
2018,0305005183,Marine species NEI,800
2018,0305005183,Pelagic marine fish (excl. anchovy & sardine),1400
2018,0305005231,Demersal marine fishes,2145.8
2018,0305005231,Marine or freshwater fishes NEI,900
2018,0305005231,Pelagic marine fish (excl. anchovy & sardine),940
2018,0305005274,Demersal marine fishes,385
2018,0305005274,Marine or freshwater fishes NEI,300
2018,0305005274,"Shrimps, prawns",256
2018,0305005423,Demersal marine fishes,89604.2
2018,0305005423,Marine species NEI,12
2018,0305005423,Pelagic marine fish (excl. anchovy & sardine),6283
2018,0305005423,Sharks,18979
2018,0305005464,Demersal marine fishes,32282.4
2018,0305005464,Marine species NEI,693
2018,0305005464,Pelagic marine fish (excl. anchovy & sardine),4898.1
2018,0305005464,Sharks,22926
2018,0305005522,Demersal marine fishes,1450
2018,0305005522,Sharks,2450
2018,0305005555,Demersal marine fishes,6003.9
2018,0305005555,Marine or freshwater fishes NEI,50
2018,0305005555,Pelagic marine fish (excl. anchovy & sardine),3321.6
2018,0305005795,Demersal marine fishes,22541.5
2018,0305005795,Pelagic marine fish (excl. anchovy & sardine),840
2018,0305005795,Sharks,79800
2018,0305005811,Demersal marine fishes,857
2018,0305005811,Marine or freshwater fishes NEI,100
2018,0305005811,Pelagic marine fish (excl. anchovy & sardine),650
2018,0305005811,Sharks,400
2018,0305005829,Marine or freshwater fishes NEI,150
2018,0305005829,Pelagic marine fish (excl. anchovy & sardine),150
2018,0305005878,Demersal marine fishes,8922.4
2018,0305005878,Pelagic marine fish (excl. anchovy & sardine),238
2018,0305005902,Demersal marine fishes,7150.4
2018,0305005902,Pelagic marine fish (excl. anchovy & sardine),308
2018,0305005910,Demersal marine fishes,2700
2018,0305005910,Sharks,4100
2018,0305006009,Anchovy & Sardine (small pelagics),2271.2
2018,0305006009,Demersal marine fishes,6632.6
2018,0305006009,Marine species NEI,362.8
2018,0305006009,Pelagic marine fish (excl. anchovy & sardine),2371.5
2018,0305006017,Demersal marine fishes,29993.2
2018,0305006017,Marine or freshwater fishes NEI,4616
2018,0305006017,Marine species NEI,968.2
2018,0305006017,Pelagic marine fish (excl. anchovy & sardine),3874.2
2018,0305006017,Sharks,514
2018,0305006025,Demersal marine fishes,77933.2
2018,0305006025,Pelagic marine fish (excl. anchovy & sardine),11879.3
2018,0305006033,Demersal marine fishes,19110
2018,0305006033,Pelagic marine fish (excl. anchovy & sardine),290
